stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,17.74,27.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0
 14-21,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,3.66,6.54,0,0,0
 24-34,0,0,12.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.32,7.59,0,0,1.68,0,3.75,43.88,0,0,0
 36-46,0,0,5.29,2.38,0,4.05,0,0.63,0,0,0,0,0,3.34,1.59,0,0,0,268.04,1.91,0,0,0,0,9.9,35.62,0,0,0
 48-58,0,0,2.56,0,0,36.28,0,13.77,0,0,2.44,0,0,0,2.02,0,0,4.7,381.21,8.41,2.46,0,0,0,4.14,38.72,0,0,0
 60-70,0,0,2.06,1.22,2.11,117.06,0,5.99,0,0,0,0,4.45,0,0.96,0,1.7,0,415.26,5.41,0.85,1.22,0,0,7.26,61.9,0,0,8.8
 72-82,0,0,8.56,0.8,0,182.14,0,23.27,1.25,0,0,0,0,2.78,13.19,0,0,0,508.77,14.31,0.55,0,1.75,0,3.4,46.03,0,0,0.71
 84-94,0,0,13.25,1.6,0,116.24,2.24,9.26,2.56,0.8,0,1.18,0,0.59,4.2,0,2.23,0,395.88,6.63,1.55,0,3.82,0.96,3.83,37.32,2.5,1.27,0
 96-106,0,0,6.8,5.23,0,125.65,0,3.92,0,0,0,0.66,0.67,2.17,9.25,3.31,0,0,361.2,8.76,2.57,5.22,2.51,0,3.1,14.96,0,0,0
108-118,0,0,15.02,6.35,2.19,158.1,0,12.44,1.31,0,0,0.79,0,1.23,8.15,0,0,0,447.61,16.29,3.01,6.53,0,0,6.43,8.58,0.68,0,8.65
120,0,0,9.79,2.7,0,114.64,2.44,14.56,0,0,0,0,0,8.43,24.73,0,0,2.09,560.34,1.54,7.8,0,0,0,3.67,14.74,0,0,0
