stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,12.09,198.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,240.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,0,0,0,0,0
  7-9,0,7.66,0,0,0,0,0,26.75,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,87.03,3.67,0,0,28.38,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7,10.67,0,0,23.65,0,5.95,13.59,0,0,0,0,0
 14-21,0,0,3.07,1.03,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0.98,0,0,0,0,0,0,0,0,2.98,0,0,0
 24-34,0,0,3.31,0.65,3.22,0,0,0,0,0,0.61,0,0.71,0,0,0,0,0,0,0,0,0,0.59,6.37,0,0,0.77,0,0,0,13.11,0,1.74,0,0.71,0
 36-46,0,0,2.85,0,0,0,0,0,0,0,0,0,2.89,0,0,0,0,0,0,2.63,0,0,0,3.41,0,0,0,0,0,0,6.93,0,1.6,0,0,0
 48-58,0,0,3.03,0,0,0,0,2.41,0,0,0,1.18,6.17,0,0,0,0,0,0,1.52,1.2,0,1.6,17.93,0,0,0,0,0,0,5.01,0.4,1.89,0,0.38,0
 60-70,0,0,15.69,0,0,0,0,14.1,0,0,0,0.62,36.28,0,0,0,0,0,0,10.02,0.68,0,2.39,19.57,8.84,3.96,0,0,0,0,5.59,0,1.1,0,0,0
 72-82,0,0,29.65,0,0,0,5.15,18.52,0,1.27,0,1.72,122.62,0,0,0.53,0,0,0,23.54,10.38,1.12,4.68,32.14,0,0,0.55,0,0,0,3.04,0,7.48,0,2.28,0
 84-94,0,0,39.39,0,0.71,3.04,9.49,0.76,0,0,0.74,0,216.72,0,0,0,0,0,0,58.35,8.77,0,0,30.58,0,0,0,0,9.88,0,17.67,0.55,1.5,0,0,0
 96-106,0,0,28.47,5.89,2.62,1.24,5.13,16.07,0,0,0,14.71,325.59,0,1.6,0,0.57,0,0,67.98,8.41,0,0,56.26,0,2.19,0,0,8.22,0,12.88,0,0.64,2.52,0,0
108-118,0,0,20.91,4.61,3.32,1.7,15.41,12.35,0.91,0,0,1.28,369.72,0,0,0,0.54,3.2,0.45,88.65,4.44,0,3.7,44.92,0,0.42,1.46,0,11.48,0,12.72,0,0,0,1.59,0
120,0,0,44.33,1.27,0,0,9.82,16.8,0,0,0,13.53,352.27,0,1.17,0,0,0,0,53.01,3.59,0,1.04,97.85,0,0,0,0,2.41,0,13.7,0,0,0,0,4.27
