stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,51.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.13,0,0,0,1,0,6.95,0,0,0,0,0,0,0,0,0,1.81,0,5.23,0,0,0,0,0,1.96,0,0,0,0
 24-34,0,0,0.9,7.62,0,1.57,0,9.82,0,0,0,4.03,0,0,0,0,0,0,0,3.74,0,0,0,7.16,0,3.59,0,6.79,0,0,0,0
 36-46,0,0,0,0.63,0,2.47,0,12.37,3.58,1.18,0,16.65,0,0,0,0.59,0,0,1.67,7.05,1.32,0.98,3.25,6.78,0,0.86,0,2.01,0,0,0,0
 48-58,0,0,0,0,0,15.86,0,8.11,0,0.49,0,1.87,0,0,0,2.68,0,0,1.53,10.17,0,0,2.45,1.27,0,0,0,0,0,0,0,0
 60-70,0,0,1.23,0,0,17.78,0,4.67,8.79,0,0,13.75,0,0,4.22,12.61,0,0,1.59,13.43,0,0,14.76,1.04,0,1.12,8.52,1.26,0,0,0,0
 72-82,0,0,0.97,0,0,20.86,0,4.36,8.63,0,0.5,13.61,0,0,1.08,31.85,0,3.2,5.18,7.18,0,0,13.11,2.05,0,1.23,0.55,11.65,0.51,0,2.15,0
 84-94,0,0,1.46,0,0,35.9,1.73,6.03,9.7,0.75,0,15.93,0,0,0,27.77,0,1.95,2.58,16.22,0,0,6.41,3,2.8,0,0.63,5.75,4.45,3.73,6.25,0
 96-106,0,0,3.17,0.78,0.67,20.12,0.93,0.65,16.56,1.17,0,16.09,0,1.5,0,29.09,0,3.44,6.48,13.39,0,0,12.17,0,0,0,0.63,0,1.4,0,3.09,0
108-118,0,0,1.9,0.7,0,39.37,1.5,2.92,9.56,0,0,16.23,2.8,0,1.68,26.59,0,0.65,3.3,8.26,0,0,29.53,1.32,0,0.91,0,4.79,0,0.78,10.77,0
120,0,0,0,2.12,0,26.82,0,4.14,2.95,0,0,27.62,0,0,1.85,24.73,1.56,0,9.44,25.78,0,0,29.03,1.01,0,0,0,0,2.12,2.75,93.31,2.85
