stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,liver,melanocytes,mesenchyme,muscle,neural,otic,presomitic.mesoderm,taste,xanthophores
  3-4,9.74,246.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,196.6,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0,0,0
  7-9,0,0,0,0,0,4,0,0,0,0,0,0,0,27.73,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,0,1.13,0,0
 24-34,0,0,0,0,0,0.67,0,0,0,0,4.82,0,0,2.11,0,0,0,0
 48-58,0,0,0,0.69,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0
 72-82,0,0,14.82,0,0,0.67,4.21,1.3,0,0,0,1.72,0,9.38,0,0,0.97,4.49
 84-94,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0
 96-106,0,0,9.35,0,0,2.51,0,0,0,8.43,0,0,0,0,14.2,0,0,0
108-118,0,0,47.41,3.4,0.83,3.97,0,0,0.68,0,0,0.91,1.57,8.68,11.89,0,0,0
120,0,0,8.93,0,0,0,0,0,2.56,0,0,0,2.34,0,15.89,0,0,0
