stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,36.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.35,94.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.59,0,0,0,11.24,0,0,7.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.65,5.33,0,0,48.94,0,0,0,0,0,0,0,0,0
 14-21,0,0,11.59,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,19.36,0,0,0,0,0,0,0,5.63,0,0,0,0,0
 24-34,0,0,4.42,3.04,0,0,0,0.77,0,0,0,12.75,0,0,0,0,0,0,0,0,0,0,0,383.68,0,0,1.95,0,0,0,0,96.75,0,0,0,0,0
 36-46,0,0,0,0,2.38,0,0,11.87,0,1.39,0,9.92,0,0,0,0,0,0,0,0.7,0,0,0,947.28,2.85,0,1.78,0,0,0,0,220.31,0,0,0,0,1.43
 48-58,0,0,2.92,0,4.51,0,0,52.58,0,1.08,0.45,21.51,0,0,0,7.73,0,0,2.28,8.03,0.71,0,1.79,1825.57,0.93,0.69,0,0,0,0,0,227.45,0,0,0.77,0,0
 60-70,0,0,1.9,0,1.84,0,0,249.46,0,1.28,0,75.84,0.63,0,0,3.02,0,0,22.01,30.15,3.18,0,1.35,3221.81,0,0,0,0,0,7.96,0,225.69,0,0,0,0,0.79
 72-82,0,0,2.18,0,15.6,1.2,0,404.51,0,0,0,114.19,2.08,0,0,2.8,1.07,4.55,5.12,24.68,0,0,0.5,4319.39,0,1.84,0.67,0,0,3.43,0,144.27,0,5.2,1.14,1.32,25.94
 84-94,0,0,0.64,0,7.75,7.02,0,359.13,0.68,0,0,76.58,8.62,0,1.78,0.55,0.69,0,10.13,36.77,0,3.81,3.26,3078.33,0,0,0,0,0,0.9,0,178.43,0.9,1.64,0.57,3.21,16.95
 96-106,0,0,4.33,0,18.59,3.73,0,373.78,1.31,0.58,10.48,92.13,5.21,0,0,1.59,0.97,9.55,0,31.59,0,1.02,1.63,3101.41,0,0.57,0.59,0,0,8.83,0,74.3,1.13,0,0,1.54,3.59
108-118,0,0,3.47,0,14.36,2.37,0.45,325.37,0,0,1.27,85.51,2.92,5.21,0,0.41,0,1.74,2.99,28,0,0,6.34,2876.02,0,0.79,0,0,2.27,5.35,0,57.06,0,0,0,1.03,1.7
120,0,0,8.33,0,32.1,5.12,1.61,359.68,13.04,3.14,12.74,171.03,17.74,3.82,0,0,0,0,9.24,24.26,0,2.35,0,4240.17,0,9.38,5.02,0,0,1.87,0,75.33,0,0,8.14,0,4.67
