stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,0,0,0,6.88,0,7.35,0,0,0,0,0,0,0,0
 14-21,0,5.61,0.83,0.93,0,0,0,12.12,0,0,0,0,4.51,0,0,6.28,7.84,0,0,0,0,0,0.84,0.89,0,2.59,70.04,0,0,0,0
 24-34,0,65.4,0,4.06,0,0.75,0,10.11,0,1.37,0,0.97,78.43,0,0,63.33,32.88,6.52,1.9,0,0,0,8.18,0,0,4.69,32.26,0,3.23,0,0
 36-46,0,105.32,0,15.68,0,2.2,2,2.01,0.72,0,0,0,142.89,0,2.46,48.13,14.46,14.8,0,0.72,0,1.69,2.02,0,0,0,6.65,0,1.77,0,0
 48-58,0,69,0,8.13,0,2.51,6.95,6.03,0,0,0,0,154.96,0.52,6.48,19.57,16.66,26.5,0,0,0,0,1.28,0,0.62,0,4.08,1.45,0,0,0.63
 60-70,0,55.99,0,13,1.28,18.48,35.07,7.83,0,0,0,0,233.64,0,11.63,15.66,21.56,32.63,0,0,0,0,0,0,7.12,0,0,9.82,0,4.87,0
 72-82,1.62,37.72,0,12.36,0,5.73,8.79,15.38,0,0,0,0,269.18,0,23.02,21.06,24.79,1.43,0,1.64,0,3.1,3.85,0,0,0,0,13.92,0,23.3,0
 84-94,0.56,46.38,1.51,13.67,0,16.03,10.2,34.17,2.03,5.71,0,0,215.67,0,16.42,14.77,23.91,6.59,0,0.89,0,0,0,0,0,0,0,15.86,0,13.19,0
 96-106,4.3,48.32,0,15.46,0,20.61,3.78,17.73,1.52,3.87,0,0,229.19,1.24,15.63,20.57,6.99,1.35,0,1.1,0,6.83,3.15,0,0,0,0,17.88,0,25.96,0
108-118,0.93,55.92,0,16.33,0,18.49,1.46,17.67,2.14,0,1.37,0,202.15,0,15.93,11.36,30.92,3.43,0,0,0,2.35,3.23,0,0.42,0,2.11,9.85,0,12.83,0
120,0,54.42,0,3.22,0,12.69,0,0,0,2.63,0,0,174.97,0,11.14,26.64,24.77,2.14,0,0,0,5.38,0,0,0,0,0,5.67,0,12.76,0
