stage,blastomeres,erythrocytes,eye,fast.muscle,glial,hatching.gland,mesenchyme,muscle,neural,otic,pericytes,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.88,0,0,21.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.65,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.37,0,0,0,1.04,4.13,29.53,0,0,0,1.04,3.1,3.64,0,0,0
 24-34,0,0,7.62,1.2,0,0,1.35,4.07,93.7,0,0,0,0.82,1.38,10.59,0,1.85,0
 36-46,0,0,5.07,0,5.75,0,2.15,0.95,104.82,0.61,0,0,0,0,18.02,0,0,0
 48-58,0,0,9.44,2.24,4.31,0,2.1,1,16.34,0,0,0,0,0,11.7,0,0,0
 60-70,0,0,6.04,0,0,0,0,0,11.83,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.6,0,0.86,0,4.15,0,0,0,0,1.62,0,0,0.53,0,0,0
 84-94,0,1.28,3.67,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,5.12,0,2.01,0,0,0,0.79,0,0,0,0,0.83,0,1.1
108-118,0,0,0.64,0,3.75,0,0,0,0.8,0.56,0,0,0,0,0,0,0,2.92
120,0,0,10.08,0,0,0,0,0,0,0,0,0,0,0,0,10.44,0,8.57
