stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,10.12,383.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.69,0,0,0,0,0,0
  5-6,32.25,858.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.88,0,0,0,8.27,27.9,0,0,0,0,0,0
  7-9,0,5.51,25,0,0,53.46,0,0,0,0,11.76,0,0,0,0,0,0,373.5,9.83,0,0,107.76,0,0,0,0,0,0,0
 10-12,0,10.87,22.12,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,323.95,8.76,0,0,99.29,0,0,10.84,0,0,0,0
 14-21,0,0,0,8.83,1.21,7.14,0,0,2.6,0,0,0,0,0,0,1.93,1.09,49.55,1.05,0,0.82,1.44,0,11.79,0,15.36,8.52,0,0
 24-34,0,0,0.76,1.75,0,6.57,0,1.21,0,0,0,0.76,0,0,0,6.76,3.44,53.32,0,0,0.82,0,4.25,0,0,0,8.67,0,0
 36-46,0,0,0,0,0,3.52,0,0,0,0,0,0,0,22.85,0,11.63,0.6,40.87,0,0.59,0.61,0,0.96,0,0,0,6.12,0,0
 48-58,0,0,0,1.43,0,5.67,0,0,1.24,0,0,0,0,0,0,2.61,0.39,29.15,0,0,0,0,2.93,0,0,0,6.24,0,0
 60-70,0,0,0,3.51,0,12.28,0,0,0,0,0,0,0,0,0,7.36,0,4.64,1.03,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.51,0,3.71,0,1.13,1.35,0,0,1.07,0,0,0,10.12,0,15.54,0,0,0,0,0,0,0,0,1.49,0,0
 84-94,0,0,0,3.68,0,1.9,1.9,0,8.64,1.49,0,1.1,0.55,0,0,8.98,0.78,13.94,0,0,0,0,3.99,0,0,0,2.91,0.57,0
 96-106,0,0,0,1.02,0,14.38,0,1.54,5.49,0,0,0,0,0,0.84,9.53,0,7.33,0,0,5.82,0,6.35,0,0,0,2.95,0,0
108-118,0,0,0,1.74,0,12.75,0,0,9.77,0,0,0,0.45,0,0.55,13.18,2.36,18.07,0,0,0.94,0,6.06,0,0,0,1.13,1.75,1.7
120,0,0,0,1.04,0,0,0,0,25.23,0,0,0,0,0,0,21.81,3.59,37.34,0,0,0,0,8.13,0,0,0,0,0,0
