stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,127.96,0,0,1.95,0,0,1.02,0,0,0,0,1.72,0,5.3,9.74,0.97,4.32,0,0
 36-46,308.04,0,2.05,20.21,0,0.84,0,15.73,0,2.14,2.5,1.74,0,16.59,18.74,0,0,0,4.38
 48-58,309.02,0,3.02,48.27,2.78,0,4.27,0,0,0,4.48,0.63,0,26.55,38.54,0,8.61,0,0
 60-70,267.28,0,8.01,36.86,0,0,0,0,1.16,0,1.34,2.49,0,6.42,11.12,0,6.59,0,0
 72-82,94,0,3.82,25.79,0,0,0,0,0,0,0,1.14,2.71,1.81,21.78,0,9.58,0,0
 84-94,289.25,2.57,16,45.63,0,0,0,0,0,0,0,1.59,0,0.95,64.91,0,3.07,2.83,0
 96-106,137.4,0,1.63,19.31,1.32,0,0,0,0,0,2.08,3.24,0,7.61,58.53,0,0,0,0
108-118,184.97,0,0,29.38,0,0,0,0.43,0,0,0,1.57,0,2.25,34.88,0,0,0,0
120,161.94,0,0,25.98,0,0,0,0,0,0,0,2.05,0,0,30.78,0,5.28,0,0
