stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,45.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.14,43.79,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.32,0,0,0,0,0,0,0,0,15.72,0,0,0,0,0,0,0,0,0,10.07,0,0,87.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.59,0,0,0,4.5,0,0,0,0,0,15.43,0,0,0,0,0,0,0,0,0,68.92,9.12,0,434.7,0,0,0,0,70.39,0,0,0,0,0
 14-21,0,0,0,0,1.07,0,0,0,0,1.25,0,0,2.93,0,0,0,0,1.1,0,0,3.07,5.03,0,0,2.63,0,0,30.24,11.12,70.31,0,0,0.84,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,0,11.5,0,0,17.37,6.54,0,0,0,0,2.12,0,3.69,38.08,0.73,0,0,0,0
 36-46,0,0,0,12.1,0.81,1.75,1.36,0,0.95,0,0,0,15.99,0,0,0,1.47,24.78,0,0,23.73,27.84,0,0,0,0,0,0,9.32,0,2.17,0,6.11,0,0
 48-58,0,0,0,0,0,0.42,4.84,0,0,0.4,0,0,10.41,0,7.83,0,0.87,18.52,0,0,27.27,37.49,0,0,0,0,0,0,11.29,0,5.67,0,0,0,0.45
 60-70,0,0,0,0,0,12.26,21.46,0,1.5,0.6,0,4.94,6.93,0,0,1.32,0,28.65,0,0,18.23,32.25,0,0,0,2.25,0,0,3.72,0,0,0,0,0,10.32
 72-82,0,0,0.75,2.52,0,10.71,28.6,0,0,0,0,0,0.65,0,0,0,0,40.63,0,2.92,38.66,31.35,0,0,0,0,0,0,3.32,0,1.71,0,1.29,0,1.08
 84-94,0,0,0,0,0,8.96,38.39,0,0,4.71,0,0,0.95,0,0,0,0.87,20.46,0,0,14.95,11.34,0,0.97,0,0,1.01,0,1.22,0,0.77,0,0,0.77,0
 96-106,0,0,0,1.67,1.53,9.68,54.16,0.75,0,0,1.8,0,3.47,0,0,0,0,21.64,1.24,0.94,8.18,66.96,0,0,0,0,1.14,0,0.64,0,2.47,3.81,0,0,1.07
108-118,0,0,0,1.48,0,0.5,28.77,0,0,0,0,0,14.45,0.69,0,0,0,21.65,0,2.41,41.09,27.84,0,0,0,0,0,0,1.66,0,0,0,2.83,0,6.05
120,0,0,0,0,0,1.54,65.61,0,0,0,0,0,3,0,0,0,0,15.84,0,0,41.03,60.82,0,0,0,0,0,0,0,0,4.72,0,0,0,0
