stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,pronephros,spinal.cord
  5-6,0,19.13,0,0,0,0,0,0,0
  7-9,4.21,0,0,0,0,0,3.82,0,0
 10-12,0,0,0,0,0,0,15.67,4.98,0
 14-21,0,0,0,0,0,0.98,2.02,0,0
 24-34,0,0,0,0.92,0,0,5.71,0,0.65
 36-46,0,0,0,0.63,0.92,1.2,8.39,0,0
 48-58,0,0,3.38,0,2.68,0,0,0,0
 60-70,0,0,0,0,0,0,3.97,0,0
 72-82,0,0,1.99,0,0,0,0,0,0
108-118,0,0,0,0,0,1.41,0,0,0
120,0,0,0,3.57,0,0,0,0,0
