stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,24.54,608.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.96,0,0,0,0,0,0,0,0
  5-6,27.31,335.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,11.56,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,0,0,0,0,13.31,0,0,0,0,0,0,0,0,0,0,0,74.81,0,0,17.07,0,3.47,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,22.69,0,0,0,0,0,0,0,0,0,0,0,15.83,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,2.69,0,0,111.55,0,0,1.23,0,0,0,0,99.74,1.1,0,0,8.57,0,0,0,0,0.9,1.02,0,0,0,1.41,0,68.83
 24-34,0,0,0,2.37,0,0,499.19,0,0,0,0,6.26,0,0,833.73,2.62,0,1.38,45.91,3.56,0,0,0.98,0,0,0,0,2.53,5.24,0.81,266.23
 36-46,0,0,0,14.51,0,0,360.61,3.21,1.29,3.8,0,1.29,0,0,1580.17,13.17,0,1.13,40.33,0.66,0,0,7.05,0,0,0,0,0,7.27,0,98.11
 48-58,0,0,0,0,0,0,306.31,0,0,1.56,0,8.47,0.48,0,1060.11,3.98,0.39,0,51.58,0,0,0,0.6,0,0,0,0.46,0,2.11,0,191.46
 60-70,0,0,0,3.67,0,0,309.56,0,0,1.51,0,4.38,0,0,628.21,14.53,0,1.3,40.89,0,0,0,0.57,0,0,0,0,0,4.55,0,140.31
 72-82,0,0,0,2.11,6.42,0,267.7,0,0,0,0,4.36,0,2.04,301.22,9.59,0,0,23.58,0,1.64,0,1.21,0,0,1.77,0,0,0,0,92.76
 84-94,0,0,0,0.55,0.61,0,405.75,0,0,0,0.8,3.66,0,0,866.78,9.12,0,0.73,13.14,0,0,0,0.55,0,0,0,0,0,3.01,0,48.72
 96-106,0,0,0,9.39,2.37,1.14,274.32,0,0,0,1.54,6.02,0,0,268.63,24.11,1.41,1.21,41.22,0,0,0,0.61,0,0,0,0,0,0,0,34.94
108-118,0,0,0,4.86,1.49,0,290.02,0,0,9.06,0,6.16,0.51,1,485.89,5.66,0,1.25,21.74,0,1.35,0,3.23,0,0,0,0,0,0,3.71,22.66
120,0,0,0,0,0,0,150.98,0,0,8.34,0,0,0,0,184.98,7.51,0,0,30.23,0,0,0,1.07,0,0,0,0,0,0,0,23.2
