stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.7,0,0,0,0,0,0,0
  5-6,41.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.31,0,0,0,0,0,0,0
  7-9,8.9,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,5.87,0,38.54,0,0,0,0,0,0,0
 10-12,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.11,0,0,0,9.84,0,15.85,0,0,0,0,0,0,0
 14-21,0,0,0,30.66,4.9,0,0,0,0,0,0,0,17.54,11.31,0,0,0,0,0,8.67,0,0,5.24,0,0,31.33,0,0,185.72,1.35,0,0,0,0,0,0
 24-34,0,0,0,6.88,0,0,6.75,2.96,1.92,1.39,0,0,198.13,2.01,0,8.29,11.35,0,7.82,22.08,0,19.38,112.9,0,0.69,22.6,0,0,1357.79,4.89,21.02,0,0,2.84,0,5.66
 36-46,0,0,0,96.86,0,0,7.25,19.65,0,2.37,3.38,0,578.54,5.12,0,11.79,0.57,0,7.85,8.28,0,6.6,94.62,0.57,0,56.16,0,0,1117.49,62.74,18.71,0,0,0,0,0
 48-58,0,0.46,0,34.51,2.07,0,6.15,6.35,0,3.52,0,0,505.51,0,0,6.08,0.55,0,4.87,3.05,0,0,46.81,0,0,11.74,0,0,264,0,10.23,0,0,0.55,0,9.25
 60-70,0,0,0,154.1,0,0,43.66,19.34,0,4.77,1.43,0,706.02,2.94,0,5.69,4.82,5.76,54.34,4.11,0.88,0,80.45,0,0,133.5,0,0,600.32,4.34,12.82,0,1.77,0,0,12.39
 72-82,0,0,2.02,76.41,9.57,0,29.29,0,0,2.16,0.58,0.58,548.83,4.44,0,20.2,0,0,24.17,5.32,0,0,28.58,0,0.95,50.69,0,0,42.72,0,3.34,0,0,1.19,0,0
 84-94,0,0,2.43,295.02,0.69,0,18.98,24.59,0,0.68,4.77,0,789.9,32.92,0,23.61,0,0,12.9,1.86,0,0,12.82,0,0.68,56.25,0,0,161.99,1.46,0,14.06,1.6,0,1.79,0
 96-106,0,0,0,266.75,3.6,0,15.51,14.48,1.05,5.61,14.93,1.42,941.14,68.86,0,31.57,6.67,0,36.82,9.57,1.11,0,55.35,0,1.82,98.2,0,0,689.6,0,4.8,7.19,0,2.19,0,0
108-118,0,0,0,212.81,0.61,0.78,27.17,36.31,0.6,8.15,25.15,0,1033.04,39.51,1.01,11.73,0,0,42.69,13.68,0,0,26.46,0,0,226.71,0,0,383.99,5.66,3.84,3.16,1.8,7.31,1.74,0
120,0,0,0,96.73,0,0,7.11,18.17,0,0,5.26,5.73,1054.8,25.18,0,12.15,0,0,6.22,5,0,0,38.62,0,0,74.59,0,4.22,272.22,2.55,0,0,0,7.59,0,3.14
