stage,epidermis,eye,glial,gut,immune,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,9.96,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,6.13,0,0,0,1.05,0.97,0,0
 24-34,0,0,0,0,0,0.69,0,0,2.54,0,0,0,0,0,0,0
 36-46,0,0.98,0,0,0,2.18,0,0,1.75,0,0,0,0,0,0,0
 48-58,0,122.04,0,0,0,0,0.66,0,25.92,0,0,0,0,0,0,0
 60-70,0,765.84,0.72,0,0,0,1.64,0,47.9,0,0,0,0,2.59,0,0
 72-82,6.48,1298.33,16.03,0.56,4.05,0,1.07,0,53.75,0,0,0,0,0,0,0
 84-94,3.2,709.57,9.94,0,0,1.01,6.7,0,47.33,0,1.44,0.59,0,11.35,1.24,9.25
 96-106,0,646.87,8.14,0,0,0,0,0,26.38,0,0,0,0,0,1.93,0
108-118,1.67,677.05,17.44,0,0,0.89,3.86,0.5,43.15,0,0,0,0,0,0,0
120,0,392.48,6.91,0,0,0,6.78,0,46.74,2.2,0,0,0,0,0,0
