stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0
  7-9,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0.87,0,1.05,0
 24-34,0,0,0,1.45,0,0,0,0,0,0,0,5.83,1.01,0,0,0,0.74,0
 36-46,0,0,0,0,0,0,0,0,3.11,0,0.6,8.59,0,0,0,0,2.07,0
 48-58,0,0,0,7.62,0,0,3.86,0,0.67,0,0,14.42,0.4,0,0,6.36,0,0
 60-70,0,0,0,62.09,1.17,0,0,0,0,0,0,3.64,0,0,0,4.99,1.2,0
 72-82,0,0,0,243.09,0.56,0,0,0,0,0,0,9.15,0,0,0,0,0,0.51
 84-94,0,0,0,402.67,3.58,0,0,0,1.02,0.84,0,4.72,0.69,0.6,0,3.77,0,0
 96-106,0,0,0,416.78,0,0,11.98,0.63,0.9,0,0,4.75,2.6,0,0,7.16,3.8,0.92
108-118,0,0,1.2,292.16,0,0,0,0.65,1.24,0,0,10.38,2.68,0,0,0.55,0,0
120,0,0,1.21,279.42,0,0,1.01,0,10.64,1.1,0,0,0,7.95,0,0,0,0
