stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,131.37,4664.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.61,0,0,0,0,0,0,0
  5-6,134.68,1835.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.19,7.03,0,0,0,7.58,0,0,0,0,0,0,0
  7-9,0,4.86,0,5.08,0,0,31.39,0,0,0,12.84,0,0,0,0,0,0,0,0,65.25,4.27,0,0,25.88,0,24.25,0,0,0,0,0,0
 10-12,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.61,0,0,0,17.8,0,0,0,125.55,0,0,0,0
 14-21,0,0,0,0,2.62,130.61,0,0,0,0,0,1.99,0,0,0,1.07,0,0,0,22.18,0,0,0.84,0,0,0,1.33,6.72,5.1,1.54,101,0
 24-34,0,0,0,0,0.68,4.8,2.5,0,0,0,0,6.99,0,0,1.49,0.6,0,0,0,8.69,0,0,4.56,0,0.7,0,0,1.36,1.61,13.83,413.09,0
 36-46,0,0,0,0,1.55,18.5,3,3.23,0,0,0,1.39,0,0,0,0,1.16,0,0.68,50.94,0,4.26,1.07,0,0,0,0,0,0,18.05,253.02,0
 48-58,0,0,0,0,0,0,18.97,0.49,1.5,0.51,0,3.79,0,3.04,0,2.45,0,0,1.64,32.09,0,0.38,12.41,0,0,0,0,0,0,7.42,224.67,0
 60-70,0,0,0.7,0,0,10.02,14.38,0,4.67,0,0,8.14,0,1.9,0,2.19,0,4.22,0,51.03,0,0,16.05,0,0,0,0,0,0,9.56,206.47,0
 72-82,0,0,0,0,0.55,0,33.72,0,10.49,0,0,5.49,0.94,7.86,0,5.13,0,0,0,58.85,0,4.69,18.34,0,0,0,0,0,0,0.64,298.41,0
 84-94,0,0,0,0,2.61,0,29.61,0.81,1.39,0,0,11.47,0,8.66,0,6.33,0,0,0,28.98,0,0,12.76,0,0,0,0,0.74,0,3.98,295.36,0
 96-106,0,0,0,0,1.67,13.82,20.48,0,10.89,0,0,6.18,1.21,14.36,0,0.64,0,0,1.31,53.52,0,0,20.83,0,0.97,0,0,0,0,0.95,279.02,0.89
108-118,0,0,0,0,2.44,5.15,19.29,0,3.94,0.43,0,3.17,0.42,6.46,0,2.66,0,0,0.68,26.99,0,3.06,12.99,0,0,0,0,0,0,0.45,200.81,0
120,0,0,0,0,1.96,0,30.76,0,28.7,0,0,7.45,0,2.41,2.26,0,0,0,0,53.95,0,0,39.92,0,0,0,0,0,0,0,274.45,0
