stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.59,72.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,217.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.99,0,0,0,6.73,0,0,0,0,0,8.65,0,0,0,0,0,0,0,0,0,0,33.51,0,0,0,30.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.06,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,4.75,16.36,0,3.15,0,0,0,1.1,0,0,0,0,0,0,0,0,1.66,0,0,3.96,23.87,0.95,0,0,1.2,0,4.34,7.81,0,0.81,6.43,20.06,0,0,0,0,0
 24-34,0,0,0,0.71,0,0,3.36,0,0,0,0.75,0,0,0,0,1.03,0.71,0,0,5.16,0,0,3.91,53.59,0,0,0,0,0,0.6,0,0,0,0,9.16,0,0,0.65,0,0.95
 36-46,0,0,0,6.73,0,0,3.11,0,0,0,0.63,0,0,0,0,0,0,0,0,10.85,0,0,2.79,90.96,0,0,0.83,0,0,15.48,0,0,0,0,9.84,0,0,0.6,0,0
 48-58,0,0,0,0,0,0,21.21,0,2.13,0,4.42,0,0,0.88,0,0,0,0,5.18,6.68,0,0.56,2.69,53.06,3.02,0,0.48,0,0,2.65,0,0,1.56,0,12.98,0,0,2.19,0,0
 60-70,0,0,0,1.01,0,0,33.49,0,0,0.93,12.1,0.62,0,0,0,0,0,0,0,20.53,0,0,0,73.93,2.9,0,0,0,0,0.69,0,0,0,0,24.34,0,0,0,0,0
 72-82,0,0,0,0.97,3.15,0,11.07,0,0.55,0,6.55,0,0.59,0,0.49,0,0,0,0,8.36,0,5.13,1.84,52.84,0,0,1.19,0,0,7.1,0,0,0,0,14.02,0,1.38,4.21,0,0
 84-94,0,0,0,2.35,0.89,0,13.41,0,0,0,9.08,0,0,0,0,0,0,1.61,0,13.87,0,2.46,1.26,36.3,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0.92,0,0
 96-106,0,0,0,2.29,5.1,0,17.33,6.19,0,0,2.08,1.76,0,0,2.03,0,0,0,0.67,16.97,0.69,1.42,0.59,22.99,0.69,0,0,0,15.08,8.81,0,0,0,0,1.03,0,0,1.09,1.13,2.56
108-118,0,0,0,9.95,0.42,0.97,13.99,0.44,1.29,0,13.97,0,0,0,2.3,0,0.43,2.48,0,19.41,0,11.24,11.75,64.11,0,0,0.65,0,28.26,3.83,0,0,3.63,0,8,1.37,0,1.11,1.09,0
120,0,0,0,1.65,0,0,7.95,0,0,0,38.84,0,0,0,0,0,0,3.69,0,21.02,0,0,2.53,56.95,0,1.26,0,0,35.86,6.58,0,4.58,0,0,7.07,0,0,9.3,0,0
