stage,blastomeres,epidermis,eye,glial,gut,ionocyte,mucous,neural,olfactory,periderm,taste,vasculature
  3-4,91,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.43,0,0,0,0,0,0,6.87,0,0,0,0
  7-9,0,0,4.54,0,0,0,0,39.81,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.41,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.4,0,0
 36-46,0,0,0.56,0,0,0,0,2.04,0.63,4.84,0,0
 48-58,0,0,0,0,0,0,0,0,0,5.54,0,0
 60-70,0,0,0,0.81,0.64,0,0,0,0,3.38,0,2.13
 72-82,0,1.05,0,0,1.23,0,0,0,0,9.04,0,0
 84-94,0,2.53,0,0,3.68,0,0,0,0,30.4,0,0
 96-106,0,2.23,0,0,2.92,0,0,0,0,20.16,1.01,0
108-118,0,0,0,0,6.36,0.47,0.43,6.78,0.93,22.51,1.73,0
120,0,0,0,0,2.68,0,2.91,9.03,0,17.26,0,0
