stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,23.47,1092.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.28,0,0,0,0,0,0,0,0
  5-6,27.81,801.86,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,0,16.95,0,0,0,0,0,0,0,0,0
  7-9,3.27,3.78,0,24.7,0,0,0,0,0,0,0,16.46,0,0,0,0,0,0,187.41,8.09,0,37.23,0,0,0,0,0,0,0,0,0
 10-12,0,20.01,0,0,0,6.65,9.18,0,0,0,0,0,0,0,0,0,0,0,103.8,0,0,26.03,0,5.33,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.13,1.84,7.72,0,0,2.34,0.91,0,0,0,0,10.33,0,4.88,37.53,0,0,0,0,0,3.63,0.9,5,9.76,0,0.89,0
 24-34,0,0,0,0,0.75,0,4.93,0,0,0,0,0,0,0,0,8.51,0,2.16,72.42,0,0.76,0,1.92,0,0,0,0,9.98,0,3.6,0
 36-46,0,0,0,0,17.48,0,14.36,0,0,1.58,0,0,0,0,0,2.89,0,0,30.92,0,0,0,0.59,0,0,0.75,0,18.06,0,0,0
 48-58,0,0,0,0,15.56,0,24.06,0,0,0.47,2.97,0,0,0,0,3.76,0,1.39,32.48,0,0,0,3.52,0,0,0,0,3.97,0,0,0
 60-70,0,0,0,0,0.88,0,6.13,0,6.77,11.66,0.58,0,0,0,0,6.1,0,4.55,48.8,1.83,0,0,0,0,0,0,0,1.89,0,0,0
 72-82,0,0,0,0,0.77,0,25.86,0,0,11.83,0,0,0,2.22,0,5.13,1.12,0.64,24.1,0,3.12,0,0,0,0,0,0,8.9,0,0,0
 84-94,0,0,1.23,0,2.71,0,7.18,0,1.27,10,0,0,0,0,0,15.49,0,0,12.62,0,6.26,0,4.2,0,0,0.9,0,0,0,2.44,2.54
 96-106,0,0,0,0,1.62,0,1.65,0,0,0,0,0,0,0,0.62,6.9,0,3.18,15.28,0,0,0,1.19,0,0,0,0,6.91,2.04,2.62,2.17
108-118,0,0,0,0,0.47,0,3.97,0.59,0,7.49,0.47,0,1.62,0.64,0,6.58,0,1.19,24.1,0,0,0,1.37,0,0,0,0,0,0,1.99,0.5
120,0,0,0,0,2.18,0,8.26,0,0,28.04,0,0,0,0,0,4.55,0,0,53.61,0,4.64,0,0,0,0,0,0,0,0,0,0
