stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,22.04,215.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,238.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.87,0,0,0,0,20.36,0,0,8.46,0,0,0,0,0,145.08,0,0,44.07,0,0,0,0,0
 10-12,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,76.9,0,0,58.28,0,0,0,0,0
 14-21,0,0,0,3.54,0.93,0,0,0,0,0,3.36,0,0,0,0.99,0,1.91,0.92,0,3.19,2.34,2.77,0
 24-34,0,0,0,2,0,0,0,0,0,0,0,0,0,0.65,4.75,0,0,0,1.64,0,0.67,1.88,0
 36-46,0,0,0,0.68,0,0,0,0,0,1.51,0,1.34,0,1.11,1.21,0,0,0,0.59,1.82,0,0,0
 48-58,0,0,0,0,0,0.49,0.75,0,0,0,0,0,1.44,0.54,0.59,0.86,0,0,1,0,0,0,0
 60-70,0,0,0,1.75,0,2.99,0.87,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.41,0,0.49,0,0,0,0,0,0,0,1.25,14.68,0,0,0,2.81,0,0,0,0
 84-94,0,0,0,0.78,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0
 96-106,0,0,0.61,0.59,0,1.1,1.35,0,0,0,0.81,0.65,0,3.53,0,0,0,0,0.59,0,0,0,0
108-118,0,0,0,1.27,0,0,0,0.81,0,0,0,0.56,0,0.51,2.24,0,0,0,3.47,0,0,0,0.44
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.38,3.29,0,0,2.86,0,0,0,0
