stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,70.77,2448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.38,0,0,0,0,0,0,0,0,0
  5-6,383.14,5512.76,0,0,0,0,0,0,0,0,0,0,0,36.38,0,0,0,0,0,0,0,0,0,0,0,119.29,0,0,27.8,0,88.08,0,0,0,0,0,0,0,0,0
  7-9,74.11,107.9,0,85.55,0,0,0,452.87,0,0,0,0,0,178.3,0,0,0,0,0,0,0,0,0,0,0,3460.61,36.06,0,959.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,98.86,0,98.84,0,24.3,0,372.54,0,0,0,0,0,136.94,0,0,0,0,0,0,0,0,0,0,0,3272.52,24.41,0,1194.05,0,11.77,3.96,149.72,0,4.89,0,0,0,0,0
 14-21,0,0,0,0.91,21.4,7.04,0,44.12,0,0,0,1.3,0,2.61,0,0,0.86,0,0,0,0,18.87,0,0,12.75,167.73,2.96,0,5.34,0,0,32.46,0,0,83.11,33.93,0,1.2,0,0
 24-34,0,0,0,3.05,9.65,12.05,0,72.64,0,0,0,3.18,1.28,0,0,0,1.25,0,0,0,0,42.53,0,0,11.8,206.98,0,2.41,0,0,3.54,0,0,0,13.96,18.91,0,0.77,0,2.5
 36-46,0,0,0,0,2.53,0,0,17.89,0,0,0,3.65,1.96,0,0,0,0,0,0,0,0,16.4,0,0,4.71,185.91,0,1.49,0,0,7.62,0,0,0,0.69,7.21,0,1.79,0,0
 48-58,0,0,0,0,10.46,2.36,0,44.9,0.58,0,0,16.22,0.94,0,0,0,0.4,4.19,0.52,2.16,0,18.83,3.35,1.03,6.49,66.02,0,0,0,0,2.98,0,0,0,0,5.04,0,4.51,0,0
 60-70,0,0,0,0,3.73,4.02,0,17.66,0,0,2.6,11.15,6.69,0,0,0.6,0,0,0,9.85,0,26.67,1.39,0.82,5.52,83.01,0,0.71,0,0,0,0,3.95,1.91,0,0.64,1.22,0.7,0,0
 72-82,0,0,0.76,0,8.31,3.53,3.92,38.18,0,0,0,18.3,7.28,0,0,0.73,2.02,0,0,0.77,0,20.11,0,1.49,21.83,37.1,0.73,2.21,0,0,2.43,0,0,0,0,5.83,0,2.31,0,0
 84-94,0,0,0,0,0.61,4.38,1.76,25.51,0,0.63,2.39,15.36,4.87,0,0,5.35,1.93,0,0.86,2.92,0,35.44,0,0.65,13.1,43.99,1.54,0,0,0,4.93,0,0.9,0,0,1.39,0,6.61,0,0
 96-106,0,0,0,0,6.25,0.59,2.64,9.57,0,0,0,12.65,10.59,0,0.88,5.57,0.73,0,0,1.45,0,29.1,0,0,13.15,26.69,0.81,0.65,0,0,3.77,0,0.62,0,0,0.58,0,7.62,3.21,0
108-118,0,0,0,0,21.1,5.69,20.34,17.31,0,1.68,3.88,23.01,1.56,0,1.27,4.81,0.47,0,1.24,0,2.8,39.86,0.49,0.62,21.77,49.23,5.25,2.23,0,3.79,5.15,0,0,0,0,0,0,4.07,0,0
120,0,0,0,0,44.46,18.55,22.6,27.94,0,2.58,2.36,45.74,6.86,0,0,25.66,1.1,0,0,0,0,60.47,1.72,16.56,61.9,57.53,1.18,0,0,4.59,5.65,0,0,1.99,0,0,0,25.32,16.84,0
