stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,78.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,69.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.09,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,59.27,3.24,0,3.3,0,0,0,0,0
 10-12,0,0,0,0,0,12.63,0,0,0,0,0,0,0,0,0,99.99,0,0,48.14,0,0,0,0,0
 14-21,0,0,0.87,8.74,0,0.83,0,0,0,0.93,0,0,4.1,0,0.84,13.4,0,0,0,0,0.91,1.86,5.48,0
 24-34,0,0,0,0,0.62,0.81,0,0.64,0,2.28,0,0,1.35,0,1.44,53.3,0,0.67,0,0,0,0,20.64,0
 36-46,0,0,0,2.21,0,8.05,1.31,0,0,5.74,0,0,2.63,1.72,2.21,73.45,0,0.59,0,0,0,0,11.61,0
 48-58,0,0,0,0,0,13.51,0.96,0,0,6.58,0,0,8.88,0,5.9,20.4,0,0.42,0,0,0,0,17.53,0
 60-70,0,0,0,0,0,11.6,0,0,0,16.55,0,0,12.82,10.43,0,34.89,0,0,0,0,0,0,1.29,0
 72-82,0,0,0,0,0,4.8,0,0,0,0.91,0,0,11.35,0,0.82,31.86,0,0,0,4.65,0,0,1.56,0
 84-94,0,0,0,0,0,17.45,0,0.66,0,0,0,1.16,33.53,0.7,0,14.11,0,0,0,0,0,0,2.22,0.57
 96-106,0,0,0,0.77,0,6.34,0,0,0,8.67,0,0,3.93,0,0.69,1.98,0.58,4.03,0,0,0,0,3.08,0
108-118,0,0,0,0.69,0,2.24,0,0,0,1.03,0,0,7.53,0,0,9.41,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.99,0,0,0,3.35,0,0,30.96,0,0,0,0,0,0,0,0
