stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,125.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.79,393.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.02,6.66,0,0,52.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.21,26.12,0,0,114.45,0,0,5.95,0,0,11.64,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.81,0,161.57,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,9.09,16.72,2.1,0,0,2.94,0,0,0,6.82,0,37.06,3.91,0,0,0,0,2.31
 24-34,0,0,0,0,0.98,0,0,134.12,0,0,0,0,0,0,0,2.13,0,0,0,1.41,53.5,0,0,1.34,39.06,48.44,0,0.95,0,0,3.55,0,0,0,3.1,3.72,0,0,3.25,0,186.93
 36-46,0,0,0,0,0,0,0,164.46,0,0,0,2.99,0,0,0,0,12.13,0,0,0,161.72,0,0,5.06,65.83,45.29,0.99,5.79,0,0,0,0,0,0,0,1.27,0,0,1.99,0,486.95
 48-58,0,0,0,0,5.66,2.86,0,622.6,0.68,0,1.32,32.69,0,0,0,0,0,0,2.05,5.67,423.82,0,0,32.17,170.23,19.21,2.03,24.63,0,0,0.38,0,0,0,0,6.51,0,0.37,0.81,0,1046.23
 60-70,0,0,0,0,1.98,0,0,293.95,0.59,0,44.68,48.26,0,0,5.85,0.61,7.43,0,0,0,1116.52,2.12,6.97,53.69,125.3,13.36,0,56.01,0,0,3.09,0,0,0,0,5.91,0,12.11,0,0,1028.4
 72-82,0,0,1.41,0,4.48,0,0,861.44,0,10.53,85.24,81.42,2.03,0.88,0,0,0.85,0,0,0,2786.74,1.65,22.11,130.99,340.16,0.5,0,54.91,0,15.51,3.74,0,0,0.63,0,5.98,0,95.32,1.59,10.33,1310.57
 84-94,0,0,2.31,0,9.69,1.44,0,817.46,0,24.94,96.74,61.66,0,0.78,1.43,0,0.55,0,0,0,2306.25,0,16.18,76.04,170.48,3.68,2.42,88.26,0,0,0,0,0,0,0,5.65,0,69.24,3.02,25.62,737.43
 96-106,0,0,6.44,1.61,27.38,4.26,0,458,4.74,37.28,129.18,89.03,4.62,0,3.92,8.1,1.14,3.76,6.97,0,2993.13,1.42,50.83,106.93,399.54,0.81,0,118.36,0,13.09,5.96,0,0,0.74,0,4.57,0.71,52.56,5.17,15.95,880.94
108-118,0,0,3.76,0,8.88,3.34,0.78,481.7,5.21,1.65,118.31,61.19,4.28,1.81,4.43,2.71,0,1.9,4.36,0,3521.04,0,46.55,89.57,549.2,0,2.31,115.33,0,13.94,1.84,0,0,0.81,0,12.67,0,16.96,0,0,626.75
120,0,0,4.31,0,60.21,0,1.61,281.36,2.98,1.16,144.79,141.4,0,2.11,5.12,0,0,0,1.84,0,3992.75,0,236.7,99.24,533.94,0,2.92,127.67,0,20.3,3.81,0,0,0,0,37.11,0,74.48,16.16,9.56,338.16
