stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,1.19,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,1.09,0,0,0,0.85,0,0,0,0
 24-34,0,0.84,1.2,0,5.55,0.69,0,1.04,0,1.14,0,1.57,0,0.71,0,0,0,18.85,2.01,3.41,2.29,0,0,0,8.3,0,0,0
 36-46,0,0,0,0,0.72,0,0,1.06,0,0,0,0,0,0,0,0,0.59,9.88,6.77,0,4.68,0.75,0,0,9.64,0,0,0
 48-58,0,0,2.6,0,1.64,0,0,1.88,0,0,0,0,0,0,0,0.47,0,21.76,2.13,0.47,0.51,0,0,0,3.14,0,0,0
 60-70,0,0,3.6,0,0,0.96,0,1.49,0,0,0,4.64,0,0,0,0,0,3.11,0,0,12.67,0,0.71,0,0,0,0,0.65
 72-82,0,0,4.17,0,2.67,0,1.29,1.56,0,0,0,0,0,0,2.04,0,0,6.88,0.87,0.88,1.75,1.24,0,0,0,0,0,0
 84-94,0,0,7.06,1.74,0,2.91,0,3.67,0,0,0.95,1.45,0,0,0.97,0.78,0,3.54,0.71,1.85,5.94,0,0,0,0,0,0,2.43
 96-106,1.57,0,0.63,0,7.93,0,0,0,1.06,0,0,1.61,0,0.58,3.77,1.69,0,4.19,0.63,2.77,7.36,0,0,0,0,3.17,1.49,0
108-118,0,0,3.66,0,3,0.77,0.75,4.91,5.73,0,0,0.48,0.65,0,4.28,0,0,0.73,0,3.49,6.19,0,0,0,0,2.03,0,0
120,0,0,4.47,2.59,2.75,1.01,0,0,0,0,0,0,0,5.32,0,0,0,13.25,0,8.47,6.96,0,0,0,0,0,0,0
