stage,blastomeres,eye,fast.muscle,immune,liver,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,slow.muscle,spinal.cord
  5-6,8.01,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.55,0,0,0,0
 10-12,0,0,0,0,0,0,0,20.57,0,0,0,0
 24-34,0,0,8.76,0,0,0,0,0,0,3.08,0,2.04
 36-46,0,0,0,0,7.69,1.01,0,0,0.67,0,0,0
 48-58,0,1.19,0,0.39,0,0,0,1.84,0.72,0,0,2.11
 60-70,0,0,0,2.24,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.81,0,0,0,0,0,0,0,0
 84-94,0,0,0,10.67,0,0,0,0.94,3.79,0,0,0
 96-106,0,0,0,1.57,0,4.38,0,0,0,0,0,0
108-118,0,0,0,2.89,0,0,2.74,0,0.52,0,1,0
120,0,6.38,0,7.15,0,5.73,4.26,0,3.57,0,0,0
