stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,59.68,1938.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,76.38,1335.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.79,0,0,0,35.93,0,21.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.68,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.45,0,0,0,58.58,0,0,6.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,71.11,0,0,0,3.98,0,0,3.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.18,0,0,2.15,0,0,0,1.08,0,0,0,0,0,0,12.78,0,2.15,0,0,1.44,26.37,0,0,1.27,0,0,1.79,0,0.9,0,0,2.64,12.88,0,0,0,0,0
 24-34,0,0,0,0,4.01,0.81,0,15.76,1.45,0.75,0,0.61,0,0,0,0,1.94,0,11.08,0,3.11,0,0,3.87,187.07,0,2.29,0,0,0,1.8,0,0,1.6,0,0,97.1,0,0,3.1,0,0
 36-46,0,0,0,0,0,0,0,18.19,0,0,0,12.93,0,0,0,0,5.87,0,0,0,7.95,0,0,2.55,381.49,0,3.58,0,0,0,5.85,0,0,0,0,0,174.48,0,0,4.87,0,0
 48-58,0,0,0,0,5.89,0,0,67.53,1.5,0,0.4,22.1,0.39,0,0.85,0,5.29,0,3.95,6.79,10.22,0,0,0.91,705.47,2.65,1.87,2.37,0,0,6.33,0.65,0,0,0,0,150.32,0,0,2.21,0,0
 60-70,0,0,0,0,0,0,0,251.59,1.28,0,0.85,15.31,4.11,0.66,3.85,0,8.44,0,12.91,0,23.35,0,0,1.31,1076.61,0,5.94,0.95,0,0,11.08,0,0,0,0,0,137.44,0,0,10.67,0,0
 72-82,0,0,0,0,5.44,1.3,0.76,581.77,0,0,0,36.49,2.21,0,0,0.5,16.69,0,0,3.48,39.46,0,0.55,1.52,968.68,3.23,3.03,0,0,0,1.74,0,0,0,0,0,115.42,0,0,0,1.12,0
 84-94,0,0,2.55,0,10.9,1.89,1.75,379.07,0.91,1.42,0,25.87,1.94,2.4,1.55,0,21.13,0.89,0,0.83,44.86,0,0,0.86,867.99,0,13.99,4.41,0,0,9.79,0,0,2.08,0,0,74.01,0.71,0.64,4.69,2.78,0
 96-106,0,0,0,0,1,13.43,0,388.09,0.57,0,0.81,26.95,0.63,0,2.34,0.77,23.14,0,22.77,0,27.57,1.44,0,9.63,584.6,0,10.38,7.96,0,1.04,3.19,0,0,0.7,0,0,21.15,0,1.94,3.35,0.59,0
108-118,0,0,0,0.74,2.28,3.8,1.54,315.24,0,0,0.79,22.9,2.35,0,1.17,7.1,69.22,0,0.48,0,24.1,0,0,3.49,722.13,0,2.68,1.85,0,0,2.54,0,0,0,0.44,0,34.14,0.48,0.54,1.21,1.42,7.18
120,0,0,0,0,13.38,5.77,7.18,390.12,2.85,0,0,24.27,5.36,0,3.3,2.99,53.94,0,0,5.68,23.14,0,0,3.34,1056.17,0,3.27,2.63,0,0,4.52,0,0,0,0,0,26.29,0,5.78,0,0,0
