stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,45.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,97.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.35,10.11,0,0,4.52,0,0,0,0,0,151.8,3.62,0,37.67,0,0,0,0,0,0,0
 10-12,0,0,6.15,0,9.49,0,0,0,0,0,111.31,0,0,66.91,0,3.26,0,0,0,0,0
 14-21,0,0,0,0.97,1.94,0,0,0,0,0,9.88,0,0,1.19,0,0,1.27,7.34,0,0,0
 24-34,0,0,0,0,1.61,0,0,0,6.01,1.04,63.41,0,0,0,0,0,0,25.15,0,2.24,0
 36-46,0,0,0,0,11.25,0,0,0,2.49,0,26.51,0,0,0,0,0,0,3.76,0,0,0
 48-58,0,0,0,0,9.31,0,1.69,0,1.83,1.46,37.08,0,0,0,0,0,0,5.65,0,0,1.18
 60-70,0,0,0,0.77,15.38,0,0,0,0.75,0,43.17,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,5.17,0,3.25,0,1.13,0.66,13.83,0,2.12,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.97,2.27,0,0,9.33,0,1.65,0,0,0,0.91,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,5.84,0,11.62,0,0,0,0,0,0,0,0.66,0,0
108-118,0,0,0,0,2.81,0,1.37,0,0.79,0,15.98,0,0.72,0,0,0,0,0,0,0,0
120,0,0,0,0,2.2,0,0,8.16,28.03,0,22.4,0,0,0,0,0,0,0,0,0,0
