stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.29,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0.89,4.05,0,0,0,0,0,0,2.41,0,0,0
 24-34,0,0,1.18,0,0.68,0,0,0,0,0,0,0,0,0,5.45,0,0,0,4.49,11.65,0,0,0,0,0,7.72,0,0,0
 36-46,0,0,0,0,0,0,0,0.63,0,0,0,0,1.62,1.88,7.17,0,1.77,0,6.16,2.89,0,0,0,0,1.48,7.24,1.23,0,0
 48-58,0,0,0,0.76,0,3.35,0,0.81,0,0,0,1.05,0,0.59,31.7,0,9.26,0.79,12.82,8.98,0,0.56,0,0,0,13.12,3.22,0,0.78
 60-70,0,0,0,0,0,5.98,0,0,1.17,0,0,0,0,0,117.21,0.84,9.93,2.44,11.16,4.78,2.59,20.59,0,0,0,2.29,1.61,0,2.49
 72-82,0,2.59,0,0,4.17,6.07,5.41,1.21,6.65,0,0,0,3.06,0,70.85,0,13.88,2.88,16.02,0,0,26.5,1,0,0,16.36,12.22,0,27.05
 84-94,0,3.69,0,0,0,10.56,0,0,0,0,2.15,0,0,0,88.14,0,19.56,4.47,9.85,0,0,25.5,0,0,0,0.67,6.97,0,24.71
 96-106,0,0,0,0,0,20.23,0,1.14,1.79,0,0,0,7.43,0,110.12,0,4.04,4.22,20.63,0,0,86.35,0,0.59,0,9.42,3.24,3.48,15.05
108-118,0,1.15,0,2.69,0,0,0,0.74,0,0,0,0,0,0,95.63,1.08,24.83,17.73,27.37,4.92,1.44,156.1,0,0,0,1.76,1.8,0,28.5
120,0,3.99,0,1.17,0,7.85,2.07,5.6,0,0,0,0,0,0,110.07,0,15.39,5.06,25.04,0,0,207.16,2.48,0,0,0,2.71,0,22.55
