stage,epidermis,eye,fin.epithelia,glial,immune,lateral.line,mesenchyme,neural,notochord,otic,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,5.55,17.32,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,5.96,0,0,0,3.36,0.88,0,0
 24-34,0,0,0,0,0,0,0,3.66,0,0,0,0,3.29,1.03,0
 36-46,0,0.76,0,0,0,0,0,7.7,0,0,0,0,2.41,0,0
 48-58,0,0.84,0,0,0,1.69,0.74,8.16,0,0.64,0,0,0,0,0
 60-70,0,3.06,0,0,2.38,0,0,7.52,0,0,0,0,2.12,0,0
 72-82,0,6.31,0,1.46,25,0,0,9.55,0,0,0,0,0,0,0.77
 84-94,0,1.31,0,12.72,10.75,0,0,4.88,0,0.82,0.87,0,0,0,0
 96-106,0.57,30.05,1.4,0,50.58,0,0.86,8.72,0,4.03,0,0,0,1.58,0
108-118,0,69.27,0,1.13,74.81,0,0,16.06,0,0,0,0,0,1.42,0
120,1.8,14.63,0,0,79.27,0,4.77,4.66,0,0,0,0,0,0,0
