stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.74,597.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,0,0,0,0,0,0,0,0,0
  5-6,27.03,389.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.75,9.8,0,0,0,3.26,0,0,0,0,21.91,0,0,0,0,0,0,0,0,113.79,4.61,0,0,40.9,0,7.71,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,181.93,4.1,0,0,9.75,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.48,1.96,0,0,0,0,4.06,0,0,0,1.08,0,5.01,1.54,5.03,0,3.77,48.53,3.71,0,0,0,0,0,3.93,3.35,3.84,21.42,0,1.41,0,0
 24-34,0,0,0,4.55,0,0,6.07,0,0,0.76,0,0,1.92,0,3.2,4.22,0,7.13,0,5.03,93.22,0,0,0,0,0,0,0,0,1.25,32.63,0,0.73,0,0
 36-46,0,0,0,0,0,0,19.02,0,0,5.05,0,0,0,0,0,0,0,11.19,0,3.53,118.56,1.91,1.38,0,0,0,0,0,0,0,44.29,0.85,1.36,0,0
 48-58,0,0,0,0,0,0,26.74,0.62,0,16.16,0,0,0,0.5,0.46,4.36,0,5.89,0.42,1.56,157.08,0,0,0,0,0.39,0,0,0,0,36.45,0,0.43,0,0
 60-70,0,0,0,0.65,0,0,56.79,0,0.83,25.88,0,0,0.59,0,0,1.63,0,11.52,0.84,0.76,212,0,0.96,0,0,0,0,0,0,0,23.66,0,0,0,0
 72-82,0,0,0,0,0,0,45.6,0,0,21.28,0,0,0,0.74,0,5.32,0,7.62,1.33,1.52,162.06,0,1.23,1.4,0,0,0,0,0,0,23,0,0,1.83,10.87
 84-94,0,0,0,0,2.9,0,51.84,0,0,40.94,0,0,0.82,1.65,1.55,9.25,0,11.59,0,4.29,130.25,0,6.35,2.12,0,0,0,0,1.26,0,14.97,2.58,3.05,0,0
 96-106,0,0,0,4.01,0,0,34.52,0,0,26.34,0.64,0,0,0,2.23,0,0,17.5,0,0.86,85.58,0.75,2.2,0.86,0,0.59,0,0,0,0,6.84,4.16,0,0,0
108-118,0,0,0,1.7,0,0.8,30.71,0,0.64,33.36,0,0,0,2.3,0.49,0,0,16.82,2.11,1.27,147.85,0,2.94,2.66,0,0,0,0,0,0,6.47,0,3.17,0,0
120,0,0,0,0,0,0,41.14,0,0,35.64,1.55,0,0,0,0,1.99,0,34.23,0,0,208.33,0,4.78,0,0,0,0,0,0,0,0,0,1.33,0,0
