stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.04,18.79,8.64,0,5.1,0,0,0,0,0,0,0.89,0,0,0,0,0,0,4.87,0,0,2.46,106.83,1.97,0,0,0.94,0,1,9.34,0.89,0,17.58,32.91,0,0,0
 24-34,0,0.59,15.66,0.99,0,39.32,0.67,0,1.02,4.2,0.67,0,1.47,1.04,5.68,0,0.71,0,0,38.47,0.69,0,11.21,370.65,0.6,4.8,1,0,0,6.75,0,0,0,4.05,52.16,0.98,0,0
 36-46,0,0,17.12,0,0,57.79,1.43,2.21,0,22.9,0,0,0.57,0,0,17.44,0,10.88,0,45.3,0,2.74,8.03,328.93,3.41,2.43,0,0,0,2.43,0,0,2.28,0,57,1.71,0,0
 48-58,0,0,5.94,1.33,0,84.99,0,0,1.4,34,1.98,0,1.53,1.1,0,0.43,2.09,1.49,0,39.44,1,0,11.58,351.23,2.89,0,1.12,0,0,3.99,0,5.71,1.46,0,60.3,1.63,0,0
 60-70,0,0,16.29,0,0,127.89,0,0,4.41,12.26,2.83,0,2.87,0,0,3.63,1.2,5.83,0,29.15,0,0,8.78,299.9,1.76,1.42,0,0,0,2.85,0,1.59,0,0,26.02,0.93,2.04,0
 72-82,0.68,0.75,5.16,9.13,0,58.9,0,0.64,1.17,25.07,0.56,0.59,0.9,2.35,0,0,1.27,0,0,28.56,0.58,1.43,5.93,187.97,0,2.32,0.59,0,0,0,0,0,0,0,23.81,0.8,1.66,5.28
 84-94,0,0,5.53,0.7,0,52.73,0,0,0.65,10.12,2.88,2.7,0.6,1.6,0.61,0.55,0.84,0,11.28,31.36,1.01,0,4.03,104.72,0.65,0.89,0,0,0,7.73,0,0,0,0,8.73,2.92,0.63,0
 96-106,1.28,0,6.01,0,0,23.18,0,0,0,16.2,1.59,0,0,4.67,4.96,0,2.88,1.38,0,27.78,0,0,4.97,53.7,0,0,0,0,1.3,10.26,0,0,0,0,12.48,8.49,0,0
108-118,0,0,8.98,0.54,3.96,22.84,0,0,0.43,12.46,0,0,0,1.98,0,0,0.53,7.64,0,21.11,0,0,6.74,122.25,0.71,1.62,5.44,0,1.83,7.13,0,0,1.02,0,6.59,10.99,5.56,0
120,0,0,28.69,1.12,0,60.52,0,6.55,0,136.21,18.92,0,0,22.16,1.25,0,0,8.25,0,61.33,0,2.76,12.46,269.37,3.95,1.48,1.98,19.84,2.67,9.89,0,1.04,0,0,16.41,30.39,0,0
