stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0,11.15,0,0,0,7.19,0,0,0,0,0,0
 10-12,0,0,0,61.69,0,0,0,0,0,0,0,0,0,0,109.12,0,0,0,0,0,4.78,0,0,0,0
 14-21,0,3.83,4.36,3.64,0,0,2.24,0,0,0,0,0,0,0,134,0,0,2.08,0,0,0,19.8,0,0,0
 24-34,0.79,0.68,0,9.44,0,0,11.45,0,0,0,1.28,1.63,0,0,509.16,0,0,0,0,0,0,56.92,1.4,0,0
 36-46,0,2.3,0,2.46,0,0,22.43,0,0,0,0,0.66,0,0,576.35,3.37,0.62,0.71,0,0.61,0,88.94,0,0,0
 48-58,0,0.6,0,24.05,0,0,62.79,0,0,6.3,0,0.84,0,3.95,449.45,0,0,0.64,3.66,0,0,40.19,0,0,0
 60-70,0,0,0,7.53,3.17,0,70.62,0,0,0,1.63,4.73,0,0,435.5,0,0,1.26,0,0,0,25.04,0,0,0
 72-82,0,0.55,0,30.74,0,0.68,68.17,0,0,0,5.76,2.56,0,0,369.67,0,0,3.14,0,0,0,16.06,0,0,4.86
 84-94,0,1.72,0,19.83,0,0,41.14,0,0,0.7,0,4.06,0,0,262,0,0,3.82,0,2.3,0,10.37,0,2.61,0
 96-106,0,1.56,7.94,25.25,0,0,76.05,0.62,2,0,1.66,3.29,1.09,0,311.19,0,0,12.65,0,1.78,1.38,7.68,0,0,0
108-118,0,0.44,0.85,3.6,0,0,86.59,0,0,0,1.1,5.82,0,1.64,484.74,0,0,5.42,0,0,0,3.3,0,0,0
120,0,0,0,41.78,0,0,111.23,0,0,0,0,0,0,0,447.05,0,0,4.58,0,0,0,0,0,0,0
