stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,immune,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,37.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,23.4,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,0
 14-21,0,0,0,1.07,0,0,0,0,0,0,0,0.86,0,0,0,0
 24-34,0,0,0.66,0,0,0,0,6.99,0,0,0.76,0,0,0,1.33,0
 36-46,0,0,0,0,1.61,0,0,22.99,0,0,0,0,0,0,1.86,0
 48-58,0,0,0.51,0,0,0,0,6.05,0.4,0,0,0,1.56,0,0,0
 60-70,0,0,0,0,0,0,0,20.67,0,1.04,2.84,0,0,0,0,0
 72-82,0,0,0,0,0.85,0,0,5.88,0,0,3.93,0,0,1.03,0,0
 84-94,0,0,0,0,0,0,0,16,0,0,4.73,0,0,0,0,0
 96-106,0,0.83,0,0,0,0.57,0,6.32,0,0,0,0,0,0,0,3.53
108-118,0,0,0,0,0,0,0,9.98,0,0,0,0,0,0,0,1.08
120,0,0,1.59,0,1.29,1.66,1.51,24.88,0,0,0,0,0,0,0,0
