stage,blastomeres,erythrocytes,eye,glial,immune,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,50.82,0,0,0,0,0,0,0,0,0,0,11.48,0
  5-6,52.6,0,0,0,0,0,0,0,0,0,0,6.51,0
  7-9,0,0,4.73,0,0,0,0,0,9.39,0,5.72,0,0
 10-12,0,0,0,0,0,0,0,0,12.53,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.87,6.41,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.15,0,0,0,0
 36-46,0,0,2.24,0,0,0,1.41,0,0.88,0,0,0,0
 48-58,0,0,2.44,0.74,0,3.21,3.84,0,0.85,2.13,0,0,0.68
 60-70,0,0,11.96,0,0,0,20.78,0,0.94,3.94,0,0,0
 72-82,0,3.99,16.41,0,0,0,7.89,0,2.28,0,0,0,0
 84-94,0,0,0,0,1.16,0,26.04,0,0,0.83,0,0,0
 96-106,0,0,1.37,7.59,0,0,16.26,0,0,0.64,0,0,0
108-118,0,0,0.43,0.63,0,0,12.24,0,1.15,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.86,0,0,0
