stage,eye,fast.muscle,glial,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1.65,0,1.36,0,0
 24-34,0,0,0,0,0,0,11.62,0,0,0,2.31,0,0
 36-46,0,0,0,0,0,0,42.25,0,0,0,12.77,0,0
 48-58,4.39,0,0.58,0.55,0,4.24,49.44,0,0,0,3.51,0,3.85
 60-70,13.09,0,0,0,9.54,0,95.1,0,0,0,7.87,0,0
 72-82,12.27,0,1.93,0.58,0,0.64,90.65,1.45,0,0,1.01,0,0
 84-94,6.7,0.79,0,0,0,0,69.25,0,0,0,3.24,0,0
 96-106,3.69,0,0,0,0,0,48.72,0,0,0,0,0,0
108-118,15.62,0,0,1.75,0,1.32,76.19,0,0,0.69,8.34,0,0
120,12.39,0,0,0,0,0,110.3,0,0,0,0,19.42,0
