stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,94.48,2208.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.78,0,0,0,0,0,0,0,0,0,0
  5-6,59.14,814.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.21,0,0,0,0,0,13.25,0,0,0,0,0,0,0,0,0,0
  7-9,3.27,0,0,3.67,0,0,0,22.82,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0,142.34,5.98,0,0,36.66,0,16.63,23.67,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.57,0,0,0,12.22,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,230.31,0,0,0,57.06,0,34.64,26.27,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0.93,25.76,20.83,0,16.17,0,0,0,0,1,3.25,0.93,120.67,23.18,0,0.93,53.99,0,3,1.49,0,1.26,86.3,0.95,0,0.94,2.12,0,65.69,5.53,4.16,0,2.26,44.67,0,0,1.55,0,0.85
 24-34,0,0,0.66,2.25,12.79,7.57,0,15.33,0.94,0,0,8.53,8.28,0,0,234.19,31.33,0,0,104.1,0.77,7.82,2.62,0,1.6,189.25,0,2.52,5.07,0,0,95.91,0,22.56,0.64,1.42,58.21,0,0,20.25,0,0
 36-46,0,0,0,0,15.67,0.68,0,12.61,5.67,0,0,19.55,22.33,0,3.03,440.66,9.51,0,7.05,57.19,0,35.36,3.68,0,1.93,161.69,0,6.23,2.1,0,0,158.41,2.98,7.78,0.9,2.04,23.19,0,0,16.78,0,3.23
 48-58,0,0,0.95,0.4,26.74,1.73,0,20.85,0.38,0.8,0,28.49,42.13,0,3.04,453.75,21.48,0,5.38,63.72,0,15.84,6.14,0,5.58,93.3,0,8.08,15.02,0,0,127.53,0,8.58,0,0,26.89,0,0,37.81,0,9.33
 60-70,0,0,2.62,0,33.79,11.71,0,31.77,0.8,3.77,0,33.85,65.04,0.67,4.36,701.53,11.75,0,3.87,54.01,0,61.43,20.67,0,2.78,92.41,0,5.9,16.86,0,1.08,212.44,0,18.29,0,0,26.81,3.66,1,47.98,0,0
 72-82,0,0,61.75,3.25,135.98,80.84,3.37,65.04,1.33,3.35,0,52.05,222.86,0,5.59,524.83,38.2,5.31,5.68,46.18,0,69.28,22.09,4.01,3.35,133.83,0,7.61,11.58,0,0.71,297.92,0,6.29,0,0,14.56,28.48,1.7,46.12,0.71,0
 84-94,0,0,36.88,5.54,279.12,72.02,6.57,28.96,0,11.56,0,33.19,389.53,1.49,6.88,704.25,57.14,0,5.92,160.28,0,110.77,19.42,5.67,2.91,89.75,0,28.41,26.66,0,0,831.19,0,17.75,0,0,20.15,79.03,2.45,42.33,0.89,11.35
 96-106,0,0,66.72,11.21,716.68,111.44,5.01,140.4,0.93,45.92,6.35,76.15,700.65,0,9.81,859.81,152.26,5.85,14.49,201.43,1.03,108.01,72.56,12.11,15,279.48,1.21,37.12,32.47,0,0.97,1957.71,0,15.53,1.2,0,14.66,194.25,3.94,93.17,13.49,9.77
108-118,0,0,35.75,23.81,677.6,49.2,18.38,83.59,3.78,38.31,3.65,64.21,675.42,0,4.1,700.85,163.23,0.42,9.92,239.74,0,81.94,47.01,10.58,4.26,221.8,1.04,29.6,33.83,0,1.8,1414.6,0.42,18.07,0.63,0,3.77,178.48,0,71.02,8.91,0.51
120,0,0,77.98,0,534.23,106.27,0,46.93,0,25.54,0,59.74,416.46,5.2,18.07,1148.36,117.79,0,9.05,140.19,0,187.3,24.08,1.83,5.1,262.17,4.62,9.67,23.41,0,0,1433.96,1.53,1.84,0,0,8.38,62.49,12.14,57.84,10.94,0
