stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,639.01,13884.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.32,0,0,0,0,0,0,0,0,0,0
  5-6,4384.31,84400.46,0,0,0,0,0,0,0,0,125.12,0,0,0,0,0,0,0,0,1865.27,437.3,0,0,779.52,0,714.93,0,0,0,0,0,0,0,0,0,0
  7-9,2366.41,2051.66,1137.75,0,15.89,4326.8,0,0,0,0,1138.76,0,0,0,0,0,0,0,0,64435.39,2574.49,0,0,22804.02,0,64.61,31.69,0,9.82,0,0,0,0,0,0,0
 10-12,0,124.9,233.61,0,6.65,264.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1660.21,83.17,0,0,895.22,0,0,5.47,0,220.18,0,0,0,0,0,0,0
 14-21,0,0,1.79,13.95,5.44,2.56,0,0,1.03,0.87,0,0,0,1.34,0,0,9.45,0,11.4,96.29,1.42,0,1.12,7.75,0,0,0,16.93,2.2,0,9.86,23.52,0,0,0,7.55
 24-34,0,0,0,6.28,0,3.49,0,0,1.34,0,0.67,0.75,0,0,0,0,11.59,0,1.69,83.13,0,0,0.69,0,0,2.75,0,0,0,0,0,16.38,0,0,0,88.83
 36-46,0,0,0,1.23,2.92,4.62,0,0,3.54,0,0,0,0,0,0,0,8.05,11.59,7.89,79.9,0,0,0,0,0,7.39,0,0,0.74,0,0,8.57,0,0,0,213.3
 48-58,0,1.29,0,0.5,0,12.45,0,1.57,1.16,0,0,0.61,0,0,0,0,21.41,3.52,6.41,137.46,0,1.07,0,0,0.45,0.37,0,0,0,0,0,7.99,0.42,0.4,0,259.76
 60-70,0,0,0,0.71,0,26.82,0,5.18,2.09,0,0,1.38,0,0,0,0,39.51,10.87,6.14,237.94,0,1.56,0,0,6.11,0.68,0,0,0,0,0,6.19,11.66,0,3.42,323.34
 72-82,0,0,0,9.11,0.65,49.98,0.66,0.68,12.95,0,0,1.07,0.72,0,0,0,78.21,22.3,2.43,299.45,0,1.23,0,0,15.48,0.61,0,0,0.64,2.68,0,1.14,22.77,0,8.4,132.4
 84-94,0,0,0,1.6,0,39.77,0,0,6.43,0,0,0,0.56,0,8.7,0,24.39,35.49,2.57,172.65,0,0,0,0,7.18,4.5,0,0,0,0,0,1.41,22.03,0,8.66,121.24
 96-106,0,0,0,6.76,10.27,29.15,1.03,0,9.47,0,0,0,2.35,0,1.03,0.67,42.25,12.01,4.8,173.75,0,2,0,0,18.52,0.7,0,0,0.71,0,0,4.35,6.02,0,16.51,124.54
108-118,0,0,0,3.35,5.51,13.35,0,9.67,21.71,0,0,0,0,0,0,0,71.78,5.35,3.89,290.66,0.69,0,0,0,34.45,0,0,0,0,0,0,4.37,14.35,0.96,13.05,109.8
120,0,0,0,0,0,48.85,2.9,0,21.36,0,0,5.81,0,0,0,0,163.46,31.56,1.9,778.46,4.99,0,0,0,37.56,1.3,0,0,0,0,0,0,0,0,22.01,29.58
