stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,27.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4,0,0,0,33.58,0,0,0,0,0,0,0,0
 10-12,0,7.45,0,0,8.59,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,75.49,12.42,0,0,15.61,0,6.67,0,0,0,0,0,0
 14-21,0,0,1.75,0,0.91,0,0,0,0,0,0,0.81,0,0,0,0,1.81,0,5.2,3.91,0.81,0,0,0,0,2.77,0,1.87,5.5,0,0,0
 24-34,0,0,1.61,0,1.68,0,0,0,0.6,0,0,0,0,0,0,0,8.3,0,3.3,18.25,0,0,0,0,0,4.26,0,0.69,3.65,3.53,0,0
 36-46,0,0,1.29,0,0.56,0,0,0.6,3.84,0,0,1.05,0,0,0,0,12.57,0,2.27,22.2,0.62,0,0,0,0,9.62,0,0,13.11,0,0,0
 48-58,0,0,0.37,0,0.98,0.61,0.82,0.41,1.41,0,0,0,0,0,0,0,4.76,0,0.45,6.1,2,0,0.7,0,0.56,0,0,0,2.72,0.47,0,6.5
 60-70,0,0,1.89,0,0,0,0,0,2.9,0,0,0,0,0,0,0,18.14,0,2.67,18.84,0,0,0,0,0,0.62,0,0,12.07,2.49,0,0
 72-82,0,0,0,0,3.75,0,0,0,16.15,0,0,0,0,0,0.6,0,29.01,0,0,10.39,0,0,0,0,3.2,2.83,0,0,0,0,1.81,0
 84-94,0,0,1.46,2.57,3.4,0,0,4.47,1.45,0,0,0,1.06,0,0,0,21.81,0,2.52,0.97,2.17,1.05,0,0,0,1.03,0,0,2.07,0,0,9.48
 96-106,0,0,2.6,13.36,1.36,0,0.82,0,29.49,0.64,0,0,0.95,0.59,0,0.71,19.78,1.41,0,1.17,0,0,1.19,0,0,2.04,0,0,0,5.57,0.8,0
108-118,0,0,2.58,0,4.52,1.3,1.7,0,15.58,0.98,0,0,0,0,0,0,39.3,2.35,0,7.13,0,0,0,0,0,5.34,0,0,0,4.21,0,0
120,0,0,5.19,0,2.07,0,0,5.4,15.92,0,0,0,0,0,0,0,28.91,10.27,3.12,17.83,9.65,0,0,0,0,0,2.27,0,8.23,0,0,0
