stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.21,16.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.29,3.27,0,0,21.8,0,0,22.28,0,0,0,0,0,0
 14-21,0,0,0,0,8.13,1.87,0,0,0,0,65.27,0,0,0,0,0,0,0,0.96,0,1.77,71.41,0,2.81,10.39,1.95,0,0,16.35,0,123,0,0,0,0
 24-34,0,0,0,0,2.25,1.28,0.71,0,0,0,56.38,0,0,0,0,1.07,0,0,4.73,0,1.41,80.32,0,9.99,0,0,0,0,5.44,1.43,154.41,0,1.62,0,0
 36-46,0,0,0,0,1.44,0,3.5,1.61,0,0,22.06,0,0,0,0,0,0,0,2.17,0,5.24,76.65,0.58,11.03,0.58,0,0,0,0,0,93.42,0,10.36,0,0
 48-58,0,0,0,0,0,0,19.39,0,0,0,46.42,0,0,0,3.42,2.1,1.34,0,8.16,0,0.39,46.79,0,6.63,3.33,0,0,0,0.49,0,78.45,0,0,0,0
 60-70,0,0,0,0,6.29,0,25.74,0,0,0.62,60.08,0,0,0,0,0,0,0,14.24,0,0,64.16,0,15.67,1.77,0,0,0,1.54,0,51.42,0,0,0,0
 72-82,0,0,1.52,0,1.04,0,42.3,0,0,0,53.2,0,3.56,0.68,0,2.78,0,0,10.81,0.92,0,66.8,0.5,16.59,2.59,0,0,0,0,0,12.95,2.82,0,2.12,0
 84-94,0,0,2.77,0,0.86,0,39.52,0,0,0,36.77,0,0.97,0,0.62,4.05,0,0,13.43,0,0.6,65.55,1.37,18.5,3.36,0,2.56,0,1.07,0,34.43,0,2.36,0,0.61
 96-106,0,0,3.07,0,4.71,0,16.76,0,0.56,0,81.13,0,0,1.9,0,3.4,0,0.67,12.72,2.61,0.71,42.74,0,9.37,8.71,0,2.93,0.61,0,0,13.44,1.23,0,2.83,0
108-118,0,0,4.95,0,3.98,5.48,8.22,0,0,0,86.09,2.11,1.25,0,0,5.64,0,0,15.75,5.75,0,57.48,0,11.94,12.63,0,3.03,0,0.99,0,10.38,0,0,0.73,2.01
120,0,0,0,1.28,2.59,0,23.3,0,0,0,110.48,0,0,0,12.08,6.18,0,0,17.13,2.4,0,28.45,0,7.72,11.33,0,0,0,0,0,39.64,0,0,0,0
