stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,88.6,408.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0
  5-6,32.46,548.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,12.44,0,6.15,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.68,7.13,0,0,9.94,0,0,3.47,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.22,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0,0,0,0,0,5.73,0,0,0,0
 24-34,0,0,0,9.8,0,0,1.84,0,0,0,7.33,0,0,8.83,0,0,0,0.62,4.53,0,0.7,7.03,0,12.41,0,0,0,11.02,0,0,2.48,2.85,0,0,0,0
 36-46,0,0,0,0,0.85,0,1.69,0,0,0,0.64,0,0,3.19,0,0,0,0,0.89,0,0.57,6.64,0,12,0.8,0,0,26.71,0,0,5.08,5.09,0,0,0,0
 48-58,0,0,0.46,0.43,0,0,7.35,0.59,0,0,0,0,0,20.65,0,2.91,0,0,4.4,0,3.74,2.37,0,8.34,1.17,0,0,14.92,0,0,5.32,5.06,0,0,0.4,0
 60-70,0,0,0,1.8,4.71,0,0,0.79,0.77,0,1.1,0,0,20.84,0,8.68,2.87,0,18.84,0,0,4.4,0,14.04,12.23,0,0,5.53,0,0,4.19,0.69,0,0,0,0
 72-82,0,0,0,3.79,0,0,7.75,1.21,0,0,6.02,0,0,18.03,0.78,10.04,32.97,0,33.13,0.93,0,6.84,0,21.3,6.08,0,0.87,5.23,0,0,1.05,1.8,0,0,0,1.54
 84-94,0,0,0,0.67,0.97,0,2.7,0,0,0.71,0,2.65,0,39.7,0,9.3,111.08,0,35.35,0,0.69,14.26,0,26.94,7.85,0,0,1.93,0,0,2.13,0,1.17,0,0,0
 96-106,0,0,2.57,0.8,0.59,0.9,47.95,4.32,1.41,0,9.63,2.32,0,44.09,0,35.26,329.85,1.26,22.25,0,0,63.4,0,31.58,13.2,0,0,6.17,0,0,0.68,0,0,1.15,0,0
108-118,0,0,0,2.73,7.03,0,8.03,1.1,3.5,0,1.7,0.54,0,36.1,0.71,12.6,407.46,0,15.25,0,0.5,52.97,0,24.67,4.61,0,0.76,7.82,0,0,0.99,8.57,0.48,0,0,0
120,0,0,0,0,0,0,19.09,1.58,0,0,8.76,1.11,2.09,48.14,0,12.55,175.45,0,18.88,0,0,45.48,0,13.68,3.35,0,0,0,0,1.12,0,0,0,0,0,0
