stage,blastomeres,epidermis,eye,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.92,0.89,0,0.82,0,0,0.83,0,9.44,1.84,0,0,0,1.53,0,1.53,0.95,8.33,0,0
 24-34,0,0,2.57,0,0,0,0,0.62,2.56,16.68,0,0,0,5.26,0,0,0,0,3.81,0,0
 36-46,0,0,1.99,0,0,1.51,7.32,1.1,2.94,6.22,0,0,0,2.72,0,1.96,0,0,0.59,0,0
 48-58,0,0.39,2.85,2.97,0,0,0,3.12,0,13.22,0,0,0,1.53,0,0,0,0,1.99,0,0
 60-70,0,0,9.16,1.04,0,0,0,17.97,0,3.9,1,0,0,0,0,3.18,0,0,0.64,0,10.22
 72-82,0,0,1.51,1.89,0,0,0,7.6,0,12.49,0,0.7,0,0,0,0,0,0,0,2.66,0
 84-94,0,2,0.93,0,0,0,0,4.95,0,3.15,0,0,0,0,0,0,0,0,0,0,3.81
 96-106,0,0,11.27,1.39,0.68,0,0,5.84,0,0,0,0,3,1.67,0,0,0,0,0,0,0
108-118,0,0.45,2.67,1.56,0,0,0,9.28,0.52,3.64,0,0.63,0,3.65,0,0,0,0,0,0,0
120,0,0,7.07,0,0,0,0,2.31,0,4.4,0,0,0,1.88,0,0,0,0,0,0,0
