stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle
 14-21,2.17,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0
 24-34,3.44,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,10.37,0,0,0.93,1.42,0,0,4.99,0,0,0,1.14,0,0,0,0,0,0
 48-58,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,9.8,0,0,1.18,0,0,0,0,0,0,0,0.61,0,3.17,0,0,0,0
 72-82,5.52,0,0,0.49,0,0,0,0,1.27,2.12,0,0,0,1.66,0,0,0,0
 84-94,4.9,0,0,2.45,0,0.63,1.33,0,1.8,0,0,0,0,2.54,0,0,0,0
 96-106,1.66,10.03,1.71,0.72,0,0,0,0,2.81,0,0.56,4.08,1.03,0.93,7.04,1.16,0,2.43
108-118,1.96,2.18,7.73,1.35,0,0.74,0,0,7.31,0,0,1.58,0,1.66,0.49,0,0.66,0
120,5.3,1.39,0,6.25,0,0,0,0,27.81,3.3,0,18.3,0,0,0,0,0,0
