stage,axial,blastomeres,endocrine_pancreas,eye,glial,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,14.84,59.19,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.31,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,27.23,4.1,0,15.88,0,0,0
 10-12,0,0,0,0,0,0,15.95,0,0,5.27,0,5.61,0
 14-21,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82
 24-34,0,0,0,0,0,0,2.26,0,0,0,0,0,0.77
 36-46,0,0,0,0,0,0,1.68,0,0,0,0,0,1.4
 48-58,0,0,0,0.66,0,0,9.83,0,0,0,0,0,3.63
 60-70,0,0,0,3.57,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.69,0,0,2.88,0,0,0,0,0,1.09
 84-94,0,0,0,0,1.18,0,0.69,0,0,0,0.58,0,0
 96-106,0,0,0,0.82,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.91,1.9,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.02,0,0,0,0
