stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,16.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,53.49,0,0,0,0,0,11.85,0,0,0
 36-46,0,0,0,3.8,0,7.94,0,0,0,1.36,0,0,1.42,299.92,0.63,0,1.39,0,0,41.04,0,4.04,0
 48-58,0,0,0,18.17,0,21.92,0,0,0,15.15,0,4.89,0,279.45,0,0.88,0,0,0,47.13,0,0,2.18
 60-70,0,0,0,10.46,0,4.23,0.87,1.02,0,7.74,0,0.8,0,267.89,0,0,2.77,0,0,49.6,0,0,0
 72-82,0,0,0,19.59,0,5.36,0,0,0,11.34,0,0,0,245.89,0,0,2.41,0,0,49.27,0,0,0
 84-94,0,0,0,13.51,0,11.54,0,0,0,13.32,0,0,0,132.16,0,0,0,0,1.19,26.17,1.03,0.91,0
 96-106,0,4.02,0,13.13,0.62,0,1.68,1.31,0.81,17.84,1.42,0,0,179.56,0,0,0,0,0,36.02,0,0,0
108-118,0,0,6.34,7.22,0,10.81,0.43,0,0,7.02,0,0,2.79,157.77,0,0,0,0,0,4.19,0,0,0
120,0,0,0,10.9,0,1.81,0,0,0,8.64,0,0,0,284.28,0,1.45,0,0,0,17.48,0,12.48,0
