stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.44,23.58,10.58,0,6.82,0,0,0,4.3,2.18,1.52,0,1.35,0,0,1.59,0,12.55,0,0,8.15,182.8,1.76,1.81,7.11,4.52,0,0,1.28,16.91,7.21,1.95,12.24,72.84,0,0,1.71,0,0
 24-34,1.95,0.76,9.2,0.76,0,31.59,0,1.41,0.83,14.03,1.74,0.8,0,1.23,0,0.65,2.22,0.95,39.45,0.71,0,16.88,525.23,1.23,6.86,4.47,0,0,9.59,0,0,2.3,3.77,6.74,105.33,0,0,3.62,0,1.98
 36-46,0,0,9.67,0,0,92.89,0.59,0.62,0.74,22.43,0.56,1.19,3.58,0.83,1.21,0,0,0,27.11,0,0.8,8.19,615.52,0.82,8.49,0.61,0,0,10.72,0,0,5.87,0,0,160.78,0,0,2.2,0,0
 48-58,0,0,5.04,0,0,197.78,0,1.13,0.84,62.9,0,1.35,0.71,0,0.83,1.75,7.53,2.13,51.93,0.65,3.49,12.87,672.98,11.74,7.62,6.9,0,0,1.65,0,0,0.43,2.49,0,147.23,0,0,3.35,0,2.35
 60-70,0,0,6.29,0,0,309.51,0,0,0,50.37,0.85,0.84,2.21,10.22,0,1.96,1.2,0,43.38,2.07,0,1.98,520.98,7.66,6.55,1.03,0,0,6.63,0,0,0.97,0,0,81.85,0,1.22,3.23,1.92,2.64
 72-82,0,0,10.03,4.54,0,254.45,0,0.5,7.34,58.85,3.42,3.89,1.21,4.62,0.57,1.71,0,0,75.61,0,0,10,410.19,0,9.83,11.13,0,1.61,3.7,0,0,0,0,0,52.15,0.62,2.74,8.93,0.76,5.59
 84-94,0,0,20.21,2.54,0,168.61,0,1.37,2.37,32.16,2.62,5.08,0.62,1.31,0.56,0,0,2.16,59.48,2.26,7.64,4.67,212.11,0,15.81,6.94,0,0,14.36,0,0,4.03,0,0,22.11,0.71,0,8.93,5.05,15.42
 96-106,0,1.03,4.01,0,0,142.85,0.9,2.41,0.81,39.61,3.91,0,4.09,2.85,0,1.66,4.04,0,34.77,0,0,9.42,146.91,0,5.27,5.39,0,0,3.72,0,0,3.32,0,0,19.53,0,3.23,10.67,1.1,0
108-118,0.61,0,3.88,3.31,7.7,131.77,0,0.52,0.87,31.25,0.52,0,3.3,3.19,1.11,1.83,0,2.02,51.21,0,1.04,3.38,305.97,0,8.74,12.61,0,2.66,3.33,0,0,0.44,0.86,0,15.17,0,3.84,2.43,0.79,1.57
120,0,0,21.47,0,0,148.95,0,1.49,0,23.8,5.99,0,2.77,0,4.74,6.76,0,0,35.06,2.21,2.75,5.24,369.49,2.06,15.52,7.84,0,0,3.83,0,0,1.04,0,0,13.83,1.84,0,4.9,0,0
