stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,83.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.59,0,0,11.9,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,8.77,0,0,15.43,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.35,0,0,1.88,0,46.67,0,0,0,0,0,47.7,0,0,0
 24-34,0,0,0,1.84,0,0,0,0,0,0,280.31,4.63,0,0,0,0,92.53,0,0,0
 36-46,0,1.07,0,6.92,0,0,0,0,1.67,0,414.82,7.92,0,0,0,0,67.77,0,0,0
 48-58,0,0,0,29.14,0,1.62,0,0.85,6.66,3.86,403.42,4.94,0.82,0,0,0,58.46,0,2.36,0
 60-70,0,0,0,40.09,1.03,8.95,0,0,6.83,0,537.88,4.81,0,0,1.22,0,86.05,0,0,0
 72-82,0,2.81,0,62.73,0,1.33,0,0,7.41,0,423.27,15.18,0.56,0,0,1.03,27.94,0,0,0
 84-94,0,0.57,0,74.8,0,3.67,0,0,8.76,0,273.95,4.93,0,0,0,0,22.59,0,0,0
 96-106,0,0.81,11.97,55.2,0,1.88,0.97,0.56,5.26,0,211.4,9.86,1.88,0,0,0.99,0,4.94,0,0
108-118,0,0.99,0,70.87,0.72,6.69,0,0,15.51,0,193.53,4.13,1.55,0,2.83,0,9.51,0,0,1.15
120,0,0,0,74.17,16.39,9.54,0,0,0,0,330.65,0,0,0,0,0,5.86,0,0,0
