stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.63,199.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.76,0,0,0,0,0,0,0,0,0
  5-6,21.54,193.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.83,0,15.53,0,0,0,7.16,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,92.26,5.93,0,0,15.41,0,3.89,0,0,0,0,0,0,0,0,0
 10-12,0,15.01,0,7.92,0,6.18,0,27.23,0,0,0,0,0,17.31,0,0,0,0,0,0,0,0,0,0,0,203.41,4.42,0,0,60.26,0,0,0,4.8,0,0,0,0,0,0,0
 14-21,0,0,0,1,10.52,2.36,0,4.3,0,0,0,3.06,1.78,0,0,0,0.91,0,0,0,0,6.7,0,0,3.13,97.7,0.94,1.09,0,1.97,0,22.42,2.1,0,1.51,30.96,0,0,1.77,0,0
 24-34,0,0,0,2.69,7.24,0,0,28.24,0,0,0,1.93,0,0,0.82,0,1.35,0.64,1.38,0,0,14.7,0,0,3.01,197.62,0,4.64,0,0,0,13.8,0,0.73,0,32.45,0,0,7.87,0,0
 36-46,0,0,0,0,7.18,0,0,37.38,1.18,0.89,0,3.09,0,0,0,0,0,0,0,4.88,0,11.74,0,0,8.21,137.25,0,0.57,0,0,0,29.2,0,0,0,16.68,0,0,0,0,8.32
 48-58,0,0,0,0,6.13,0,0,49.07,0.86,0,0.69,7.26,1.5,0,0.47,0,0,0,0.49,0,0,14.34,0,0.47,4.06,102.83,0.55,0,0,0,0,6.83,0,0.4,0,2.89,0,0,2.09,0,5.36
 60-70,0,0,0,0,6.24,0,0,28.28,0,0,0,7.19,0,0,0,0,0.58,0,0,2.11,0,4.25,0,0,4.06,80.93,0,2.15,6.28,0,0,2.14,0,0,0,3.86,1.22,0,9.06,1.79,0
 72-82,0,0,0,0,3.08,0,0,12.09,0,0.55,1.6,14.56,4.2,0,0,1.83,0,0,1.21,0,1.81,9.52,3.04,1.77,4.44,54.82,0,0,0,0,0.84,8.56,0,0.66,0,2.68,0.5,0,5.01,0,1.3
 84-94,0,0,0.84,1.01,8.97,0,0,11.53,0,2.11,0.61,9.65,1.2,0,0,2.11,2.23,0.65,0,2.41,0,24.41,1.77,1.56,6.56,53.6,0.94,0,0,0,0,38.52,0,1.26,0,0,0,2.14,3.85,0,0
 96-106,0,0,0,0,7.02,0,0,9.97,0,2.29,0.84,9.37,3.14,0,0.61,6.69,1.44,0,0,0,0,36.23,2.75,0.76,2.02,45.24,0,0.57,1.49,0,2.4,43.22,0,0,0,0,1.14,0.93,6.18,0,0
108-118,0,0,0,0,15.82,3.16,2.85,19.4,0,6.44,0.59,12.49,5.94,0,0,5.27,2.3,1.64,2.46,2.08,0.5,49.64,0,5.39,4.21,107.28,0,0,4.45,0,0,57.57,0,0,0,0,0,1.37,1.43,0,4.32
120,0,0,14.29,0,25.78,0,1.89,13.57,1.01,3.55,0,16.07,4.87,0,1.15,0,2.57,4.24,0,0,8.73,43.06,0,1.45,14.53,54.98,5.5,1.61,1.09,0,16.79,47.57,0,0,0,0,0,0,16.02,0,12.45
