stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.8,187.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.31,0,0,0,0,0,0,0,0,0,0
  5-6,0,194.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,63.44,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.67,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.57,13.61,0,0,37.6,0,4.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,39.79,0,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.42,33.98,0,0,101.08,0,0,4.94,0,0,0,5.73,5.32,0,0,0,0
 14-21,0,0,1.85,14.83,4.66,0,5.19,0,0,0,0,6.16,1.52,0,0,0,0,0,0.85,11.62,0,0,9.83,63.44,8.93,0,0.93,3.78,0,8.17,0,5.84,9.16,0,2.99,21.75,0,0,0,0
 24-34,0,0,2.74,13.18,0.95,0,11.38,0,0.66,0.64,6.37,2,0.82,0,1.61,0,0,0.65,0,59.42,0,0.69,27.55,74.07,2.28,1.63,2.81,0,0,18.88,0,0,7.86,0,2.62,33.59,0,42.8,0,2.93
 36-46,0,0,0,13.05,0,0,4.95,0,0.56,4.02,9.39,0,4.16,0,0.77,0,0,0,0,86.32,0,0,26.01,41.22,4.14,1.13,1.62,0,0,2.81,0,0,12.01,0,0,27.91,1.23,7.23,0,5.69
 48-58,0,0,0,1.36,0.41,0,9.65,0,0.54,1.93,25.79,1.07,2.66,0,0.46,6.84,0,0,5.85,135.21,0.81,1.27,28.32,49.36,1.36,0,4.07,0,0.56,0.95,0,0,9.01,0,0,30.97,1.27,4.68,0,1.47
 60-70,0,0,0,3.88,0,0,45.94,0,1.54,10.9,31.46,7.26,3.25,0,3.03,2.53,0,0,0,204.08,2.84,6.18,26.13,35.39,0,0.84,1.5,0,0,10.7,0,0,16.32,0,0,36.59,3.73,3.12,0,6.33
 72-82,0,0,0,8.47,0,0,9.87,0,1.14,11.82,63.58,4.47,1.39,0,3.89,5.61,3.83,0,0,310.96,0.83,4.77,23.09,33.96,1.99,0,2.04,0,2.32,0.59,0,0,5.49,0,0,14.19,10.15,1.75,6.73,4.86
 84-94,0,0,0,14.07,3.13,0,48.25,2.98,4.64,12.88,80.17,15.37,1.92,0,3.63,4.37,1.13,0,2.16,208.49,0,8.26,25.18,29.33,4.07,3.38,0,0,0.6,1.52,0,0,17.02,0,0,15.26,6.22,10.18,4.63,6.6
 96-106,0,0,0,22.93,12.75,1.9,40.52,0,0.62,18.57,118.45,10.05,2.59,0,16.5,2.81,5.19,1.8,1.42,236.62,0,7.69,12.61,31.29,1.78,0,2.67,0,3.11,1.73,0,0,16.5,0,0,19.27,5.25,13.05,12.54,14.75
108-118,0,0,0.49,14.55,4.3,5.99,68.67,0.67,5.98,6.52,106.36,6.88,3.55,0.42,9.42,6.49,0.47,4.57,0,231.25,1.01,22.55,15.61,59.92,2.68,0,8.09,0,5.37,0.61,0,0,11.76,0,0,7.61,0,4.5,3.99,10.25
120,0,0,0,2.24,1.98,1.61,69.04,0,2.25,2.94,76.92,13.5,0,0,13.49,7.44,0,1.5,1.79,206.34,0,2.13,7.43,23.78,15.4,0,0,0,0,0,0,0,17.92,1.64,0,2.98,2.68,0,6.54,0
