stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,90.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.39,179.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,11.76,0,20.68,0,0,0,41.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.51,0,0,0,65.7,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,26.47,0,19.85,0,0,0,14.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.67,8.75,0,0,94.32,0,0,4.37,0,10.04,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,16.1,2.5,0,5.18,0,0,0,7.6,0,0,0,0,0,0,0,4,0,6.73,126.4,1.4,0,3.52,3.96,0,0,0,18.27,0,10.94,56.93,0,0,2.06,0,0
 24-34,0,0,0,0.64,0,0,0,24.56,0,0,3.63,0.87,0,0,0,0,0,1.07,0,13.02,0,9.33,221.05,0,7.76,2.23,0,0,1.08,0,1.03,0.6,1.55,55.47,0,0,11.05,0,0
 36-46,0,0,0,0.56,0.69,0,0,45.61,0,0,0.87,14.9,0,1.67,0,0,0,0,0,17.71,0,5.07,251.71,0,7.39,1.56,0,0,0,0,0,0,0,61.4,0,0,0.91,0,0
 48-58,0,0,0,0,2.55,0,0,81.04,0.65,0.4,0.7,28.73,1.75,1.32,0,0,0,0,1.88,21.16,0.45,2.87,247.42,0,1.46,1.37,0,0,0.49,0,0,0,0,42.97,0,0,0.42,0,0.59
 60-70,0,0,0.89,0,0,0,0,168.46,0,0,0,34.03,0,0.84,0,0,1.16,0,0,36.09,3.74,4.62,236.16,0,2.67,2.18,0,0,0,0,0,0,0,34.19,0,0,0,0,5.98
 72-82,0,0,0.64,0,1.69,0.6,0,137.05,0,0,0,11.29,0.61,0.82,1.18,0,0.93,0,0,46.8,0,5.21,224.01,0,6.6,1.59,0,0,0,0,0,0,0,18.45,0,1.97,0,0.92,3.3
 84-94,0,0,0.56,0,3.05,0,0,79.01,0,0,0.69,9,0.84,0,0,0.83,1.32,0,0,46.74,4.48,3.95,190.23,0,9.19,1.28,0,0,3.03,0,0,0,0,11.16,0,0,2.62,4.21,0
 96-106,0,0,0,0,0,0,0.9,109.42,0,0.56,3.32,20.5,1.09,0,0,0,0,1.92,0,35.56,0,4.81,128.13,0,24.46,2,0,2.55,0.62,0,0,0.82,0,6.28,2.19,0,5.51,2.52,0
108-118,0,0,0.71,0,4.54,0,0,63.85,0,0.88,0,26.53,0,0,0,0,5.08,0.64,0,23.16,4.08,2.3,194.18,0,3.21,2.24,0,2.05,2.04,0,0,0,0,3.09,0,0,0,0,0.51
120,0,0,0,0,0,0,0,51.71,0,0,0,14.09,3.14,0,0,0,0,0,0,22.08,0,0,258.37,0,2.92,10.25,0,0,2.4,0,0,0,0,6.92,0,0,0,0,0
