stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,32.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.1,8.76,0,0,0,4.61,2.23,8.69,0,0,0,0,0,25.55,0,0,24.58,135.04,0.82,0,0,0.95,0,0,0.94,0,0,11.49,22.95,0,0,0,0,0
 24-34,0,0,0,12.99,1.22,7.84,0,2.04,11.24,0,0,0.65,0,0,0,0,143.69,1.24,0,57.51,403.57,0,0,2.26,0,0.99,1.22,0,0.79,0,0.97,61.35,0,0,0,0,0
 36-46,0,0,0,5.02,0,13.19,2.62,3.08,80.71,0,10.29,0,0,0,0,0,171.71,0,0,35.83,265.74,0,0,0,0,0,0.83,8.18,0,0,0,55.74,0,0.85,0,0,0
 48-58,0,0,0,3.31,0,36.43,0,2.08,198.33,0,2.83,0,0,0,0,0,202.05,0,0,27.57,214.37,14.7,0,7.88,0,1,0,0,1.09,0,0,43.17,0,1.65,1.27,0,0
 60-70,0,0,0,0,0,40.2,0,9.98,286.35,0,1.91,0,0,0,0,0,254.59,0,5.89,49.46,195.53,0,0,0,0,1.65,0,0,0,0,0,32.04,0,7.18,0,3.09,0
 72-82,0,2.29,0,4.65,3.92,48.47,0,5.36,237.89,0,4.58,0,0,0,1.65,6.49,453.69,0,15.02,53.18,132.89,0,3.73,4.12,0,1.77,1.53,0,1.17,1.05,0,28.36,0.87,12.72,0.65,7.97,2.74
 84-94,0,0,0,3.28,0,44.79,0,3.27,182.33,0,1.86,0,0,0,0,0,381.6,0,6.01,47.53,116,0,0,0,0,0,1.51,0,0,0,0,12.99,0,5.36,0,8.4,0
 96-106,0,0,0,2.07,0,84.45,0,3.73,168.64,0,5.04,0,0,0.92,10.52,0,299.44,0,11.38,18.62,130,0,0,1.49,0,3.8,2.23,0,0,0,0,12.99,0,9.5,0,13.5,0
108-118,0,0,0,3.74,0,73.88,0,7.44,172.03,0,2.57,0,1.08,0,0,0,500.4,0,11.06,24.9,106.8,0,0,3.52,0,0,0,0,1.69,0,0,5.12,0,3.93,0,10.46,0
120,0,0,0,21.29,12.72,58.63,0,18.71,198.12,0,3.24,0,0,0,0,0,466.77,0,2.4,3.36,211.45,0,0,0,0,0,0,0,0,0,0,13.88,0,5.28,0,44.51,0
