stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,53.61,869.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.98,0,0,0,0,0,0
  5-6,0,149.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,63.48,0,0,0,17.39,0,0,0,0,0,0,0
 10-12,0,0,12.01,0,0,5.39,0,0,19.75,0,0,0,0,104.3,17.2,0,0,9.41,0,5.47,0,4.44,0,0,0
 14-21,0,0,0,1.87,1.21,2.96,0,0,0,0,0,1.21,0,14.56,0,0,0,0,0,0,1.05,0,0,5.04,0
 24-34,0,0,0,0,0,0.66,0,0.63,0,0,0,1.43,0,19.67,0,0,0.64,0,3.93,0,0,0,0.6,4.42,0.72
 36-46,0,0,0,0,0,0,0,0.59,0,1.28,0.61,2.92,1.02,16.22,0,2.15,0,0,2.02,0.68,0,0,0,0.92,0
 48-58,0,0,0,0,0,1.43,0,3.22,0,0,0,1.38,0,14.46,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.1,1.51,2.76,0,0,0,7.25,0.77,7.02,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.61,0.51,13.28,0,0,0,3.91,0,13.72,0,0,0,0,0.63,0,0,0,0,1.95,0
 84-94,0,0,0,0,0,1.71,0,1.75,0,0,0,8.78,0.76,7.38,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,4.57,0,0,0,5.96,0.56,27.64,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.27,0,12.67,0,0,0,1.89,0,11.06,0,0,0,0,2.81,0,0,0,0,0,0
120,0,0,0,0,0,0,0,4.03,0,0,0,14.9,1.09,6.84,0,0,0,0,0,0,0,0,0,0,0
