stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,107.24,1468.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.66,0,0,0,0,0,0
  5-6,124.66,2121.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.69,10.72,0,0,19.2,14.17,0,0,0,0,0,0
  7-9,45.05,50.11,48.83,0,0,91.95,0,0,0,80.59,0,0,0,0,0,0,0,1628.01,31.38,0,0,471.87,0,7.58,0,0,0,0,0
 10-12,0,44.23,71.09,0,0,166.81,0,0,0,7.97,0,0,0,0,0,0,0,1010.47,14.43,0,0,342.09,0,9.75,0,60.18,0,0,0
 14-21,0,0,0,3.73,0,1.54,0,2.26,0,0,0,0,0,0,4.59,0,1.2,67.37,0,0,0,0,1.29,0,4.21,0,1.14,20.66,0
 24-34,0,0,0,0.63,1.27,16.02,0,2.99,0,0,5.2,0,0,0,9.67,0,0.89,156.12,0,0.68,0,0,2.41,0,2.33,0,0,45.16,3.33
 36-46,0,0,0,0,1,65.76,3.55,1.55,0,0,0,0,0,0.77,8.85,0,0,132.37,0.64,0,1.54,0,0,0,0,0,0,26.08,0
 48-58,0,0,0,0,0,68.62,0,3.84,0,0,0,0,0,0,6.89,0,1.64,54.16,0,0,0,0,0,0,0,0,0,7.3,1.86
 60-70,0,0,0,2.16,0,48.28,0,3.25,0,0,0,0,0,0,10.12,0,1.63,28.63,0,0,0,0,0.59,0,0,0,0,1.24,1
 72-82,0,0,0,1.79,0,25.47,0,6.56,0,0,0,0,0.61,0,5.95,1.22,0,21.24,0,0,0,0,1.96,0,0,0,0,3.2,2.92
 84-94,0,0,0,0,0.55,6.71,0,1.37,0,0,0,1.13,1.26,0,8.21,3.85,4.01,23.23,0,0,0,0,2.49,0,0,0,0,0,1.04
 96-106,0,0,0,1.75,0,5.35,0,5.61,2.13,0,0,0,0,0,6.84,0,0.93,7.9,0,0,1.82,0,4.84,0,0,0,0,0,1.42
108-118,0,0,0,1.47,0,10.64,0,0.52,0,0,1.52,0,0,0,5.4,5,3.15,20.28,0,0,0,0,0,0,0,0,0,0,1.51
120,0,0,0,0,0,30.99,0,0,0,0,3.9,0,0,0,4.93,0,1.92,20.68,0,0,2.44,0,0,0,0,0,0,0,0
