stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,21.51,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0
  5-6,8.71,148.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.45,6.07,0,0,15.37,0,0,0,0,0,0,0
  7-9,47.58,5.3,12.84,0,0,0,0,0,17.44,0,0,0,0,0,0,0,0,63.82,25.29,0,0,180.81,0,0,0,0,0,0,0
 10-12,0,0,19.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.87,7.57,0,0,121.63,0,0,0,0,0,0,0
 14-21,0,0,0,14.72,10.5,0,1.9,0.85,0,0,0,0,0,6.25,0,0,10.98,28.47,21.35,2.12,0,11.28,1.63,215.21,1.94,11.63,79.59,24.63,0.91
 24-34,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0.78,0,0,1.58,12.43,0,9.02,0.9,0,4.15,0,1,0,0.62,5.84,0
 36-46,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0.7,21.33,0,0,0,0,12.19,0,0,0,0,2.64,0
 48-58,0,0,0,0.73,0,11.85,2.86,0,0,0,0,0,0,4.48,0.45,0,0,26.72,0,2.8,0,0,8.29,0,0,0,0,8.1,0
 60-70,0,0,0,0,0,28.34,0.92,0,0,0,0,1.39,0,8.54,0,0,0,51.66,0,5.07,0,0,11.07,0,0,0,0,1.17,0
 72-82,0,0,0,0.49,0,7.67,3.5,0.71,0,0,0,0,0,14.1,0,4.32,1.39,7.92,0,10.04,0,0,3.6,0,0,0,0,10.49,1.13
 84-94,0,0,0,0.66,0,0.92,0,0.96,0,0,0,0,0,4.31,0,0,0,6.59,0,2.19,0,0,7.13,0,0,0,0,1.19,0
 96-106,0,0,0,0.77,0,1.82,0,0,0,0,0,1.7,1.36,5.81,0,0,0,3.61,0,5.51,0,0,4.51,0,0,0,0,0,0.61
108-118,0,0,0,0.66,0,1.39,0,0,0,0.47,0.88,0,0,0.9,0,0,0,4.29,0,0.41,0,0,2.09,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,27.11,0,13.57,0,0,2.58,0,0,0,0,0,2.66
