stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.26,219.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.7,356.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.42,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0
  7-9,36.74,0,0,31.36,0,0,39.14,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,275.39,15.45,0,0,83.94,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.03,0,0,22.77,0,0,0,0,17.88,0,0,0,0,0,0,0,0,0,0,0,257.11,21.14,0,0,46.78,0,0,0,4.13,0,5.32,0,0,0,0,0
 14-21,0.89,0,1.32,0,13.1,0,0,0,0,1.57,1.21,0,0,0,0,0,0,0,0,0.84,0,0,1.11,18.71,7.37,0,1.79,0,3.43,0,1.18,0,0,10.71,0,0,0,0,0
 24-34,0,0,0.6,0,1.53,1.41,4.22,0,0,1.67,0,0,0.9,0,0,0,1.88,0,0,0.61,0,0,0.62,34.89,0,2.47,2.11,0,7.44,0,0,0,0,18.47,0,0,0,0,0
 36-46,0,0,0,0,1.41,0,15.33,0,0,5.57,0,0,0,0,0,0,1,0,6.22,5.87,0,0,4.55,78.59,0,4.97,0.8,0,7.16,0.81,0,0,0,13.59,0,0,0,0,0
 48-58,0,0,0,0,2.04,0,14.54,0.55,0,2.41,0,0,0,0,0,0,0.69,0,1.66,7.05,0,0,0,90.48,0,2.05,0,0,0.82,0,0,0,0,27.64,0,0,0,0,0
 60-70,0,0,0,0,0.97,0,55.53,0.76,0.83,3.53,0,0,0,0,0,0,0,1.2,0.72,12.2,0,1.09,0.6,142.16,0,4.14,0,0,8.25,0,0,0,0,23.16,0,0.9,1.73,0,3.23
 72-82,0,0,0,0,3.72,0,43.55,1,0.6,2.87,0,0,0.51,0,0.6,0,0,0,0,6.41,0,0,1.27,112.03,0,2.34,0,0,1.21,0,0,0,0,20.35,0.91,0,0.83,0,0
 84-94,0,0,0,0,2.88,0,34.69,0.74,0,0.57,0.6,0,0,0,0,0,0,0,0.86,12.72,0.58,0,1.73,73.26,0.56,0,0,0,12.41,0,0,0,0,2.58,0.57,0,0,1.95,0
 96-106,0,0,1.56,0,2.77,0,34.27,0,0,12.28,2.1,0,0,0,0.81,1.05,0,0.73,0.69,15.37,0.7,1.7,0,46.95,0,5.07,2.04,0,16.36,0.64,0,0,0,8.43,0,0,2.1,0,0.75
108-118,0,0,0,0,1.74,0,17.94,0,0,10.5,0,0,0,0.59,0.99,0,0.51,0,0,6.37,0.43,0,2.06,69.13,0,1.97,0,0,15.58,0,0,0,0.41,1.03,0.42,0,0,0,0
120,0,0,0,0,3.82,0,68.53,3.01,1.66,11.39,0,0,0,0,0,3.57,0,0,0,15.73,0,0,0,105.07,1.96,0,0,0,3.87,0,0,1.47,0,0,0,0,0,0,0
