stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.74,435.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.83,352.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.62,0,0,0,21.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.43,0,10.8,0,0,0,31.55,0,0,0,0,0,14.93,0,0,0,0,0,0,0,0,0,0,0,263.46,8.06,0,0,81.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,5.93,0,84.67,0,0,0,44.85,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,558.15,25.98,0,0,233.89,0,0,0,42.21,5.78,0,0,0,0,0,0
 14-21,0.89,0,0,3.84,58.12,6.69,0,21.74,0,1.17,0,16.27,2,0.81,1.45,0,0,0,0,0,0,20.01,0,0,16.42,364.23,10.85,2.17,17.59,8.47,0,0,39.82,4.8,32.88,83.18,0,0,3.55,0,0
 24-34,0,0.83,0,2.05,22.99,2.6,0,58.34,0,1.61,1.8,19.4,1.75,0,0.92,1.01,0.62,0,0.82,0,1.6,80.01,0,0,22.17,841.21,14.38,12.45,8.04,0,0.99,13.65,0,1.77,4.05,172.13,0,0,18.05,0,0.76
 36-46,0,0,0.61,0,8.42,0,0,179.91,0,0,2.82,27.56,0,0.76,1.48,0,0,0,0.61,1.56,5.29,68.95,1.77,4.92,33.13,845.82,3.44,9.81,2,0,0,13.85,0,0.74,0,186.52,0,0,6.22,0.78,1.19
 48-58,0,0,0,0,14.05,0,0,248.57,2.81,7.81,5.65,56.35,0,0,0.52,0,1.09,0.46,0.84,0,0.57,62.68,0,3.52,11.23,716.7,0.37,8.51,5.07,0,0,5.76,0,0,0,126.98,0,0,4.57,0,4.31
 60-70,0,0,0,0,23.53,0,0,334.94,0,7.11,5.01,62.31,2.53,0,1.59,0,0,0,0.82,0,1.56,113.52,4.99,0,6.33,695.07,0,6.98,1.22,0,0,7.69,0,0,0,128.64,0,0.65,4.8,0,7.29
 72-82,0,0,1.78,0,3.5,7.48,0,434.62,0,0.51,10.46,85.58,1.2,0,0.86,0.65,8.53,1.14,1.72,0,0,135.98,1.11,8.98,11.03,674.81,2.01,3.99,3.61,0,1.96,6,0,0.53,0,108.2,0.81,2.67,11.3,4.11,1.71
 84-94,0,0,2.44,0,14.95,7.12,11.01,263.07,0,1.28,3.84,52.63,4.18,4.27,2.81,2.64,3.73,3.36,1.34,0,3.08,129.21,0,4.06,16.81,365.92,1.34,2.55,12.99,0,0,13.63,0,0,0,64.52,3.68,5.62,9.48,5.09,0
 96-106,0,0,0,0,14.1,28.8,0,301.12,3.61,0.64,8.6,85.96,5.75,0,0,1.84,0.83,1.24,1.68,0,1.41,137.01,8.21,5.42,15.37,388.48,2.47,13.74,8.48,0,1.03,11.23,0,0,0,22.09,0,2.07,11.21,2.53,7.58
108-118,0,0,0,0,15.28,19.57,3.26,253.12,3.08,3.15,8.25,80.91,5.64,0,0,5.72,0.72,5.75,4.42,0,1.59,138.04,0,8.21,12.79,512.29,2.35,20.67,13.07,0,0,4,0,0.87,0,22.6,0.68,3.87,14.76,12.32,7.48
120,0,0,0,0,20.13,20.79,0,129.08,2.71,4.51,4.46,85.39,4.51,0,0,11.18,0,1.17,0,0,0,145.02,0,3.62,21.84,832.04,0,11.49,18.89,0,0,26.88,0,0,0,11.25,0,0,8.61,4.47,5.97
