stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,57.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,38.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.84,0,0,20.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,1.34,0,0,0,0,1.81,0,1.09,10.49,3.47,0,0,0,0,0,0,1.83,0,0,1.26,0,0
 24-34,0,0,0,3.24,0,1.12,0,0,0,0,2.11,0,0,0,0,22.06,0,6.87,47.07,0,0,0,0,1.01,0,0,4.03,0,0,0,0,0
 36-46,0,0,0.73,1.08,0,2.67,0,4.4,0,0,4.02,0,0,0,0,40.16,0,4.62,116.46,10.32,0,0,0,0,0,0,18.23,0,0,0.71,0,0
 48-58,0,0,0.97,0.97,0,14.05,0,9.76,2.79,0,2.23,0,0,0,0,42.07,0,3,171.73,2.4,0,0,0,0,0,0.4,18.92,0,1.02,3.15,0,0
 60-70,0,0,0,0,0,63.07,0,0,2.05,0,1.58,0,9.57,0,0,40,0,1.99,286.66,2.24,1.82,0,0,0,0,0,7.33,0,1.43,0,0,0
 72-82,0,0,2.19,0.49,0.57,131.82,0,2.88,13.29,0,0,0,2.76,0.9,0,61.73,1.55,3.06,508.18,2.54,1.06,0,2.23,0,0,0,23.32,0,9.25,0,5.45,12.91
 84-94,0,0,0,5.39,6.24,106.43,0.57,3.13,17.28,1.22,0,0.71,2.71,0,0,32.48,5.04,3.75,359.35,0,2.79,0,4.14,0,0,0,3.78,0,4.69,0.58,8.01,0
 96-106,0,0,0.9,4.71,4.29,112.83,0,2.3,8.09,0,1.91,3.18,5.38,0,0,37.84,9.63,5.58,313.04,0,0,0,0,1.15,0.71,0,7.2,0,6.02,1.95,10.34,0
108-118,0,0,0.84,7.4,0,111.04,0,0,14.63,0,0,0.55,6.21,0,0.56,33.34,7.04,1.39,516.34,0,1,0,3.66,0,0,0,12.67,0.44,8.29,2.44,11.93,0
120,0,0,0,6.85,0,87.25,0,0,11.11,0,0,6.17,0,0,0,46.25,34.3,1.96,602.28,0,0,0,10.58,0,0,0,20.88,0,21.28,0,19.03,0
