stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,75.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,0,0,0,6.08,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,9.6,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,1.99,0.86,0,0,1.04,0,0,0,1.58,0,0,0,0,0,0,0,0,0,1.09,22.06,1.84,0,0,2.06,0,0,0,14.92,10.69,0,0,0,0
 24-34,0,3.56,4.45,2.57,0,0,0,0,0,4.07,1.4,0,0,0,0,0,0,0,2.36,0,0.84,132.12,0,2.37,0,0,0,0,0,0.62,69.12,0,0,0,0
 36-46,0,1.47,0,0.92,0,0,1.83,0,0,13.43,0,0,0,0,0,0,0,0.61,1.31,0,0.78,387.72,0,0,1.41,0,0,10.46,0,0,60.1,0,0,0,0
 48-58,0,0.42,0,0.45,0,0,10.37,0,0,42.06,0,0.77,0,0,0,0.42,0,0,14.48,0,0,690.67,0,0.85,5.17,0,0,11.93,0,0,86.58,0,0,0,0
 60-70,0,0,0,4.22,0,0,114.87,2.26,0,141.47,0.85,0,0,0,0,0,0,4.02,13.74,0,0.67,1242.87,0,0,9.43,0,0,0.62,1.53,0,97.92,0,0.6,0,0
 72-82,0,2.13,0,8.43,6.17,0,216.1,0,2.24,137.25,1.81,0,0,0,0,0,0,0,36.11,0,0,1901,0,3,36.08,0,0,0.5,1.66,0,101.5,0,0,1.51,1.42
 84-94,0,1.54,0,1.97,0.78,0,277.22,1.94,0,138.47,0,0,0,1.14,0,3.61,0,0,10.82,1.31,4.62,1604.65,0,7.88,44.2,0,0,3.44,0,0,107.57,0,0.58,6.47,4.28
 96-106,0,0.63,0,15.82,13.93,0,462.28,6.62,0,129.09,1.38,0,2.75,0,0,1.58,15.57,0,28.4,0,1.73,1503.81,0,2.47,47.97,0,0,4.82,0.69,0,51.92,0,1.21,0,6.59
108-118,0,4.17,0,7.01,0.9,0,493.51,2.88,0,167.43,0.71,0,0,0,1.24,2.2,0.56,0,26.13,3.6,6.42,1765.15,0,4.73,57.19,0,0.95,1.54,3.79,0,56.18,1.15,0,7.52,3.99
120,0,11.31,0,43.65,0,26.01,390.33,26.23,25.76,281.38,0,0,0,0,0,8.52,0,0,67.65,0,2.81,2961.36,0,3.61,77.25,0,0,0,0,0,74.26,0,0,1.1,50.74
