stage,erythrocytes,eye,fast.muscle,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,otic,presomitic.mesoderm,somites
 14-21,0,0,0,0,1.08,0,0,0,0,0,0.93,1.78
 24-34,0,0,0,0,1.18,0,2.25,0,0,0,0,0.62
 36-46,0,1.63,0,0,0,0,0,0,0,4.65,0,0
 48-58,0,1.09,0,0,0,0.4,0,0,0.67,0,0,0
 60-70,0,3.3,0,0,0,0,0,0.86,0,0,0,0
 72-82,1.31,9.47,0,0,0,0,0,0,0,1.73,0,0
 84-94,0,2.18,0,0,0,0,0,0,0,0.59,0,0
 96-106,0,0,0,0.73,0,0,0,0,0,0,0,0
108-118,0,5.17,0.47,0,0,0,0,0,1.51,1.06,0,0
120,0,0,0,1.94,0,0,0,0,0,0,0,0
