stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,51.86,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.04,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.71,0,0,0,0,0,0,13.8,4.89,0,0
 10-12,0,9.08,0,0,0,0,0,0,0,0,50.37,3.63,0,0
 24-34,0,0,0,1.72,0.76,0,0,0,0,0.69,5.85,0,1.02,2.64
 36-46,0,0,0,1.7,0,0,0,0,0,0,12.29,0,0,3.09
 48-58,0,0,0,3.59,0,0,0,0,0,0,23.02,0,0,2.34
 60-70,0,0,0,0.59,0,2.5,0,0,0.88,0,18.74,0,0,0
 72-82,0,0,0,0.66,0,3.27,0,0,2.86,0,13.77,0,0.7,0
 84-94,0,0,0,4.35,0,10.06,0,1.23,0,0,14.88,0,0.69,1.74
 96-106,0,0,0,9.26,0,0,1.11,0,1.4,0,8.12,0,0,5.27
108-118,0,0,0,0,0,0.74,0,0,0,0,1.99,0,0,0
120,0,0,2.06,8.44,0,0,0,0,34.53,0,6.09,0,0,1.19
