stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,51.11,1456.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.96,0,0,0,0,0,0,0,0,0,0
  5-6,29.35,1792.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,9.15,0,7.58,0,0,0,0,0,0,0,0,0,0
  7-9,48.48,142.15,0,81.33,0,0,477.19,0,0,0,0,0,32.25,0,0,0,0,0,0,0,0,0,0,0,2820.51,123.24,0,0,880.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,108.05,0,94.79,0,12.48,188.04,0,0,0,0,0,30.03,0,0,0,0,0,0,0,0,0,0,0,2496.12,37,0,0,1037.6,0,0,0,4.43,80.64,0,25.07,0,0,0,0,0
 14-21,0,0,0,1.64,11.03,4.11,3.85,0,0,0,1.19,0,3.13,1.5,0,3.5,0,0,0,0,4.07,0,0,5.36,76.09,4.25,0,0,0.82,0,0,0.91,9.93,0.82,2.37,17.67,29.39,0,0,0,0
 24-34,0,0,0.66,0,1.24,0,22.42,0.74,0,0.62,5.23,0,0,0,0,3.46,1.14,0,4.01,0.73,24.45,0,0,7.73,191.08,0,0.72,0.67,0,0,6.85,0,2.17,0.65,0,9.5,33.61,0,0,3.94,2.18
 36-46,0,0,0,0,9.77,4.5,46.02,21.44,2.53,2.19,3.43,0,0,0,0,1.02,0,0,14.49,0,18.46,0,0.68,2.85,205.5,0,1.48,1.05,0,0,26.77,0,0,45.83,19.66,0.8,31.09,0,0,2.28,0
 48-58,0,0,0,0,2.4,0,64.33,5.28,0,1.69,15.42,0.5,0,0,0,0.4,7.57,0.5,4.48,0,22.48,10.38,0.39,12.79,186.95,0,2.12,0,0,0,2.49,0,0,1.65,20.96,0,27.79,0,0,7.27,0.5
 60-70,0,0,0,0,4.94,3.14,83.2,3.38,5.53,0.86,16.47,8.57,0,0,1.48,2.41,1.91,0,5.24,0,21.02,0,9.26,2.42,185.41,0,0,0,0,0,4.88,0,5.3,2.71,3.99,0,7.57,0,0,0,0
 72-82,0,0,0,0,0,0,122.32,2.92,0,0,29.77,2.25,0,0,0.78,2.58,0.93,0,3.56,0,23.52,0.69,0.93,3.98,161.47,0,0.53,1.91,0,0.71,1.6,0,0,3.01,1.06,0,16.92,0,0,5.16,0
 84-94,0,0,0,0,0.76,1.44,70.78,0,0,0,11.67,1.22,0,0,0.77,0,3.92,0,0,0.73,9.36,0,6.51,1.11,52.16,0,1.54,4.17,3.85,0,3.75,0,0,1.35,0,0,3.05,0.72,0.57,4.05,0
 96-106,0,0,0,0,0,0,50.07,0,0,7.92,3.37,0,0,0,0,1.96,0,0,0.69,0,30.75,0,0,3.5,51.7,0,0,0,0,0,2.33,0,0,0,0,0,8.91,1.86,0.9,1.22,0
108-118,0,0,0,0,0.73,1.18,33.25,1.07,0,0,5.66,0.48,0,0,0.44,1.6,0,0.7,0,0,8.26,0,0.45,2.16,42.68,0,0,1.14,0,0,0.45,0,0,0,0,0,0,0,0,0.62,0
120,0,0,0,0,1.27,0,30.61,0,0,0,24.15,6.24,0,0,0,0,0,0,0,0,26.58,0,0,5.39,92.1,0,0,3.91,0,0,1.36,0,0,0,0,0,0,0,0,0,0
