stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,150.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.24,188.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,0,0,0,0,0,0,0,0
  7-9,0,13.76,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.58,36.24,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0
 14-21,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,20.49,0,0,0,1.87,0,0,2.54,0,0
 24-34,0,0,0,47.93,12.44,0,36.29,58.01,0,0,0,0,6.35,0,0,0,24.84,36.38,0,0.88,0,0,0,2.76,7.65,0,30.76
 36-46,0,0,0,0,0,0,10.72,11.15,0,0,1.53,0,0,0,0,1.36,1.58,8.64,0,0.65,0,0,0,0,5.92,0.93,0
 48-58,0,0,0,0,0,0,12.67,7.92,0.6,3,3.23,1.04,2.06,0.52,0,0.4,22.74,17.7,0,0,0,0,0,0,1.78,0,0
 60-70,0,0,0,0,0,0,10.63,0,0,0,0,9.21,0,0,1.33,1.5,0,2.84,0,0,0,0,0,0,0,2.99,0
 72-82,0,0,0,0,0.65,0.68,9.71,0,0,0,0,20.62,0,0,0,0,0,17.86,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,7.93,0,0,1.01,0,0,14.39,5.7,0,0,2.09,0,0,8.43,0,1.02,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.61,14.71,10.91,0,0,0,10.21,12.45,8.88,0,11.79,0,0,2.86,0,0,0,0,0,0,0.76,0.59,0
108-118,0,0,0,0,0,25.84,23.97,0,0,0,4.59,0,0,0,4.39,2.15,1.55,15.01,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0
