stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,lateral_line,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,28.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.81,0,1.03,0,1.02,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.85,2.82,0,0,0,0,0.71,0,0,0
 36-46,0,0,0,0,1.82,0,0,0,0.75,0,9.71,0,0,0,0,2.57,0,0,0
 48-58,0,0,0,0,3.94,0,0,0,2.33,0,17.32,0.63,0,0,0,1.01,0,0,0.92
 60-70,0,0,0,0,5.89,0,0,1.6,2.33,0,16.27,0,0,0,0.6,0,0,1.82,0
 72-82,0,0,0,0.64,3.77,0,0,0.74,12.23,0,5.04,0,0,1.05,0,2.09,0.63,0,0
 84-94,0,0,2.07,0,6.48,3.49,0,0,0,0,23.5,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.86,0,0.8,0,1.52,0,0,0,0,0,0,0,0,0,0
108-118,0,0,2.32,2.74,0,0,0,0,2.13,0,5.62,0,0,0,0,0,0,0,0
120,0,0,0,16.03,10.05,0,0,0,11.61,0,30.54,0,1.34,0,0,0,0,0,0
