stage,blastomeres,eye,glial,hatching.gland,neural,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,56.19,0,0,0,0,0,10.4,0,0,0,0,0
  5-6,6.44,0,0,0,8.55,0,0,0,0,0,0,0
  7-9,0,0,0,4.05,9.41,0,0,6.2,0,0,0,0
 10-12,0,0,0,0,8.92,3.73,0,0,0,0,0,0
 14-21,0,0,0,0,4.27,0,0,0,6.74,3.88,10.12,0.95
 24-34,0,0,0,0,4.59,0,0,0,0,0,1.55,11.04
 36-46,0,0,0,0,5.18,0,0,0,0,0,0,1.84
 48-58,0,1.61,1.17,0,5.8,0,0,0,0,0,0,2.7
 60-70,0,0,0,0,5.61,0,0,0,0,0,0,0
 72-82,0,0,0,0,12.88,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.31,0,0,0,0,0,0,0
 96-106,0,0.8,0,0,9.22,0,0,0,0,0,0,0
108-118,0,2.37,0,0,6.11,0,0,0,0,0,0,0
120,0,0,0,0,2.27,0,0,0,0,0,0,0
