stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,10.19,431.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.83,218.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.1,0,5.29,0,0,0,0,4.44,0,0,0,0,0,0,102.74,0,0,0,33.26,0,0,0,0,0,0,0,0,0
 10-12,0,11.65,0,6.44,0,13.74,0,0,0,0,0,0,0,0,0,110.8,14.52,0,0,41.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.04,0.81,0,0,0,0,0,0,0,1.1,0,22.9,0,0,0,0,0,0.91,0.91,0.89,3.01,7.62,0,0,0
 24-34,0,0,0.61,0.67,0,0,0,0,0,0,0,0,0.77,2.2,0,34.33,0,0,0,0,0,0,0,1.45,0,7.42,0,1.58,0
 36-46,0,0,0,0,0,1.4,6.82,0,0,0,0,0,0,0,0,55.7,0,0.92,0,0,1.67,0.81,0,0,0,11.28,0,0,0
 48-58,0,0,0,0,0,6.5,7.73,0,0,0,0,5.25,0,1.02,0.39,47.4,0,1.04,0,0,0,0,0,0,0,11.33,0,0,0
 60-70,0,0,0,0,0,4.33,2.91,0.62,0,0,0.86,0,0,0,2.96,42.39,0,0,0,0,0,0,0,0,0,13.45,0,0,0
 72-82,0,0,0,0,2.3,9.34,6.4,0,0,0.51,0,0,0,3.65,0,44.66,0,0,0,0,0,0,0,0,0,7.29,0.5,0,0
 84-94,0,0,0,0,0.68,3.2,6.19,1.03,0,0.79,0,0,0,3.14,0.59,29.17,0,0,0.62,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.1,2.88,0,0,0.73,0.84,0,0,0,0,14.78,0,0,0,0,3.01,0,0,0.7,0,0.83,0,5.77,0.85
108-118,0,0,0,0,0,5.92,10.37,0.55,0,0,0,0,0,8.73,0,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.97,0,3.68,0,0,0,0,0,0,5.63,0,21.86,0,0,0,0,0,0,0,0,0,0,0,0,0
